,0,1,2,3,4,5,6,7,8
0,,,Seam,Seam,,Side,,,End
1,Can Original Contents,,Des.b,Tin.,Des.,,Tin,Des.,Tin
2,"Oranges,Mandarin",1,"W,T",11821.8,M,955 1.6,955 1.6,A,321 1.0
3,"Oranges, Mandarin",2,S,1066 1.7,M,967 1.6,967 1.6,A,3341.0
4,"Soup, Chicken Noodle",3,S,578 1.3,A,290 1.0,290 1.0,A,1.20.21
5,"Tomatoes,Peeled",4,W.T,561 1.3,A,6141.3,6141.3,A,1.2 0.20
6,Green Beans,5,"W,T",2621.0,A,262 1.0,262 1.0,A,83 1.0
7,PineappleSliced,6,W,786 1.6,M,9551.7,9551.7,M,9481.7
8,"Peaches,Halves",7,W,6181.4,M,6151.4,6151.4,A,0.6 0.20
9,"Milk,Condensed",8,c,2101.0,U,276 1.0,276 1.0,P,1631.0
10,"Juice, Tomato",9,S,887 1.7,A,733 1.5,733 1.5,A,1.9 0.21
11,"Juice,Vegetable",10,S,661 1.4,A,476 1.2,476 1.2,A,2.5 0.21
12,"Lid,Mason Jar",11,,,-,,,A,256 1.0
13,Meanstandard deviation,,,680310,,610 290,610 290,,350310
14,,,,,,,,,1.50.7c
