,0,1,2,3,4,5,6,7,8,9,10
0,Element,Origin,Variety,Season,Origin  variety,Origin  season,Variety  season,Origin, variety s,season,Error
1,Na,18.7,1.07,68.4,1.59,4.97,1.75,1.90,,,1.56
2,Mg,41.0,10.4,16.3,2.94,4.49,10.8,12.5,,,1.57
3,Al,8.16,24.4,13.2,15.8,8.05,13.7,16.4,,,0.353
4,V,15.3,11.5,29.4,9.24,6.80,4.37,7.28,,,16.0
5,Ni,66.3,3.77,4.52,13.0,3.97,2.06,5.68,,,0.659
6,Cu,21.1,27.7,0.724,11.5,4.44,13.7,18.0,,,2.87
7,As,9.01,0.180,66.0,0.177,20.6,0.571,0.809,,,2.61
8,Se,4.74,1.65,53.1,1.97,3.10,3.87,9.06,,,22.5
9,Rb,64.5,6.96,7.68,3.71,10.5,2.96,5.39,,,0.216
10,Sr,60.5,6.88,0.459,3.71,0.789,3.09,24.1,,,0.441
11,Cd,38.8,2.49,0.643,10.8,3.28,15.9,26.3,,,1.79
12,Sn,13.8,0.014,65.0,5.91,18.4,0.043,0.486,,,1.68
13,Cs,54.5,10.5,13.5,5.91,8.63,2.33,4.31,,,0.387
14,Ba,38.0,14.6,2.23,5.21,1.77,14.2,23.6,,,0.360
15,Pb,29.9,14.9,17.0,8.53,5.73,11.5,9.80,,,2.70
16,U,18.1,24.1,1.14,9.68,3.19,9.96,16.6,,,17.2
