,0,1,2,3,4,5,6,7,8,9,10,11
0,Variety,CAT,EC,PCA,DPn,XPLa,PLZ,POPia,TotalFIb,CQA,pCoQAc,Total
1,Baujade,12,58,269,2.4,10,31,31,24,237,12,684
2,Chanteline,14,37,303,2.8,2,15,15,21,122,16,546
3,Freiberg,t,50,215,2.6,,14,11,19,51,8,372
4,Golden Delicious,t,27,189,2.9,3,19,16,10,92,8,364
5,Granny Smith,22,68,366,2.5,4,8,18,10,42,t,537
6,Greensleeves,t,4,45,3.0,2,12,16,5,39,t,123
7,Jolyne,t,43,359,3.0,7,20,24,21,79,37,590
8,New Gold,t,43,19,3.1,7,17,14,20,70,7,198
9,Newton Pippin,t,13,224,2.3,8,43,17,7,365,3,679
10,Sinta,12,82,354,2.6,2,18,18,10,47,3,545
11,TMR 7 A 82,t,23,156,2.3,t,19,20,5,127,3,343
12,3535,15,33,399,3.0,2,27,21,t,344,22,863
13,Pooled SD,0.3,1.9,4.7,0.7,0.1,0.2,0.3,1.5,0.8,0.1,4
14,mean,6,40,241,2.7,4,20,18,13,134,10,469
15,%,1,8,50,,1,4,4,3,28,2,100
16,SDM,8.1,22.3,124.5,0.3,3.0,9.3,5.2,7.9,116.5,10.7,213
