,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,,P6S,,,,0-08,,,1010.1,1011,20104,,,0-07,20004,20002,20002,
1,,,,20004,,,,2004,,,,,,,,,,
2,,,,,,20104,,,10103,,,1005,2004,,10005,,+0-304,1004
3,,,,,,1505,10105,,+0-399,1003,,100,1005,,,1005,10-114,
4,,P9,,1002,10101,,,,,,,,,,,8008,,10-101
5,,,,,,,,,10102,,10103,,,0-88,,,,
6,,P9,,,,,,,,,,10102,,,,+0-308,,
7,,,,,,,2004,1004,,,,,,,,10-104,+0-184,
8,,P9,,,,,,,2000-2,,,,,,,,,
9,2,,10103,,20002,,,,,20002,10104,,,,,,,
10,,P6S,,,,,,,,200100,,,,,,10102,70102,
11,,,,,,,,,,2007,,1003,,1003,,,0-386,
12,,P9,,,,,,,20107,,,,,,,,,10111
13,,,,,,,,,22-102,,004,,,,,,,20002
14,,P9S,12-102,,,1002,,,10-111,,,,,,,,,
15,,,,1003,,,,,10-102,,,,,,,,12-103,
16,,,Bean,,,peas,Corn,,,,Bean,,Whhht,peas,Crrn,,,
