,0,1,2,3,4
0,,Free,Ester,Glycosides,Total
1,Benzoic acid,20.52.2,26.3  0.8b,23.9 0.0c,70.8 2.9b
2,Salicylic acid,0.3  0.2a,0.10.0a,0.20.1a,0.6  0.2a
3,p-Hydroxybenzoic acid,0.3  0.0a,0.3  0.0a,1.90.1ab,2.50.1a
4,Vanillic acid,0.4  0.0a,0.9  0.0a,20.02.2bc,21.3  2.3a
5,Protocatechuic acid,nu,nu,nu,nq
6,Syringic acid,nu,0.4  0.2a,0.9 0.1a,1.3  0.2a
7,Gallic acid,0.7  0.0a,1.70.1a,2.4 0.3ab,4.8  0.3a
8,Total benzoic acids,22.22.5A,29.8  1.0A,44.3  2.7B,101.3  6.2
9,t-Cinnamic acid,0.3 0.0a,1.20.0a,0.4  0.0a,1.90.1a
10,p-Coumaric acid,0.60.1a,3.0  0.1a,1.5  0.1a,5.0  0.2a
11,Ferulic acid,1.10.1,20.1  0.2b,10.40.gabc,31.61.1b
12,Caffeic acid,3.4  0.6ab,334.7  6.1c,45.8  1.2d,383.9  8.0c
13,Sinapic acid,0.2 0.0a,3.20.1a,1.10.0a,4.6  0.1a
14,Total cinnamic acids,5.5  0.8A,362.2  6.6c,59.2  2.2B,427.0  9.5
15,Total,27.73.3A,392.1  7.5c,108.5  4.9B,528.3  15.7
