,0,1,2,3,4,5,6,7
0,,,Number of,,,,Cholestero,Cholestero
1,,,samples and,Water content,Water content,Fat content,,content
2,,Salad type,dressing type,,g/100g,g/100g),mg/100g,mg/100g
3,Bean,,"10B,1E",73.1 (66.6-89.7),73.1 (66.6-89.7),2.9 (1.07.3),0(05),0(05)
4,Celery,Celery,1B,82.5,,6.7,0,
5,Coleslaw(cabbage),Coleslaw(cabbage),"2B,4E",83.9 (77.3-87.1),83.9 (77.3-87.1),2.0 (1.24.7),4(0-12),4(0-12)
6,Corn,,1B,74.7,,7.7,0,
7,Cucumber,Cucumber,2E,83.8 (80.8-86.5),83.8 (80.8-86.5),1.9 (0.9-2.8),2(0-4),2(0-4)
8,Meat,,2E,54.8 (53.6-56.0),54.8 (53.6-56.0),24.7 (20.3-29.1),51(41-60,51(41-60
9,Potato,Potato,11E,77.0(74.8-80.3),77.0(74.8-80.3),4.9(1.6-9.8),51-13),51-13)
10,Rice,,4B,78.2(73.9-83.7),78.2(73.9-83.7),1.3 (0.2-2.0),00-0,00-0
11,Tabbouleh,Tabbouleh,3B,78.1(76.8-80.5),78.1(76.8-80.5),4.9 (3.3-6.6),0(00),0(00)
12,"Vegetable, mixed","Vegetable, mixed","4B,1E",82.6 (76.386.9),82.6 (76.386.9),3.1(0.6-8.8),10-5,10-5
13,Waldorf,Waldorf,3E,75.8(68.2-80.0),75.8(68.2-80.0),6.5(3.2-12.9),4 (26),4 (26)
14,Zucchini,Zucchini,4B,78.7 (69.9-84.7),78.7 (69.9-84.7),1.5 (0.92.5),0(0-0,0(0-0
