,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Matrices/Parameters,Compounds,,,,,,,,,,,,
1,Liquid,ACE-K,,SAC,,ASP,,ALI,,NHDC,,RBA,,NEO
2,"Retention time (tR, min)",2.76,,4.13,,7.41,,8.57,,11.61,,12.93,,13.77
3,RSD of (%) tR,1.66,,0.20,,0.11,,0.08,,0.05,,0.06,,0.06
4,Retention factor (k),1.66,,2.98,,6.13,,7.25,,10.17,,11.45,,12.25
5,Tailing factor (T),1.56,,1.90,,1.51,,1.47,,1.45,,1.42,,1.37
6,Asymmetry (As),1.48,8.26,1.68,,1.45,,1.42,,1.42,,1.40,,1.36
7,"Resolution (R,)",,8.26,,22.50,,8.98,,23.32,,10.62,,6.91,1.36
8,Separation factor (),,1.79,SAC,2.06,,1.18,,1.42,,1.13,,1.07,
9,Semi-liquid,ACE-K,1.79,SAC,,ASP,1.18,ALI,,NHDC,,RBA,,NEO
10,"Retention time (tR, min)",2.75,,4.12,,7.40,,8.58,,11.61,,12.94,,0.11
11,RSD of (%) tR,0.36,,0.37,,0.53,,0.12,,8.05,,0.16,,9.74
12,Retention factor (k),1.15,,2.21,,4.77,,5.69,,8.05,,9.09,,9.74
13,Tailing factor (T),1.51,,1.93,,1.46,,1.42,,1.43,,1.44,,1.38
14,Asymmetry (As),1.43,,1.69,,1.42,,1.39,,1.41,,1.43,,1.37
15,Resolution (Rs),,8.57,,23.63,,9.77,,25.78,,11.91,,7.51,
16,Separation factor (),,1.93,SAC,2.16,ASP,1.19,,1.42,,1.13,RBA,1.07,
17,Solid,ACE-K,,SAC,,ASP,,ALI,,NHDC,,RBA,,NEO
18,"Retention time (tR, min)",2.75,,0.44,,7.40,,8.56,,11.59,,0.07,,13.75
19,RSD of (%) tR,0.47,,0.44,,0.27,,0.14,,0.08,,0.07,,0.08
20,Retention factor (k),1.14,,2.20,,4.76,,5.67,,8.03,,9.05,,9.71
21,Tailing factor (T),1.36,,1.75,,1.33,,1.33,,1.28,,1.39,,1.29
22,Asymmetry (As),1.30,,1.53,,1.29,,1.30,,1.25,11.01,1.37,,1.28
23,Resolution (Rs),,7.57,,21.29,,9.05,,23.78,,11.01,,7.12,
24,Separation factor (),,1.93,,2.16,,1.19,,1.42,,1.13,,1.07,
