,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,,Total fatty acids,Total fatty acids,,,Neutral lipids,Neutral lipids,,,Polar lipids,Polar lipids,,,Free fatty acids,Free fatty acids,,
1,,Final product,Final product,After storage,After storage,Final product,Final product,After storage,After storage,Final product,Final product,After storage,After storage,Final product,Final product,After storage,After storage
2,Fatty acids,Root 1,Root 2,Root 1,Root 2,Root 1,Root 2,Root 1,Root 2,Root 1,Root 2,Root 1,Root 2,Root 1,Root2,Root1,Root 2
3,C12,2.18,1.35,,,,,,,,,,,,,,
4,C14,,,12.5,0.81,,,,,,,,,,,,
5,C15,,,,,,,,,,,,,,,14.0,2.93
6,C16,,,,,,,1.46,0.32,0.79,0.71,,,6.36,2.78,,
7,C16:1n-7,,,21.8,0.22,0.64,2.06,1.46,,,0.71,0.09,0.28,,,3.64,5.57
8,C17,,,,,,,,,,,,,8.35,3.71,,
9,C18,6.21,2.36,,,,,0.29,1.37,,,3.17,0.811,,,12.9,4.97
10,C18:1n-9,,,,,7.04,0.16,,,0.83,0.75,,,,,,
11,C18:2n-6,2.72,3.29,,,,,,,4.09,0.05,,,,,,
12,C18:3n-6,4.10,,,,,,4.38,,,,,,10.9,7.62,,
13,C18:3n-3,4.10,3.29,,,,,4.38,0.28,,,11.2,0.79,,,,
14,C20:1n-9,,,,,4.17,2.39,,,,,,,,,,
15,C20:2n-6,,,,,8.27,1.61,,,,,,,,,13.9,1.19
16,C20:3n-6,,,33.8,0.20,,,,,,,,,3.59,0.96,0.08,2.15
17,C20:4n-6,,,,,,,,,3.97,0.74,,,6.61,5.82,4.90,4.11
18,C20:3n-3,0.90,4.53,3.99,0.44,,,0.27,2.37,,,11.0,1.34,3.75,2.70,,
19,C22:1n-9,,,,,,,,,,,2.45,0.77,,,,
20,C22:2n-6,,,20.1,0.56,,,,,,,0.43,0.40,,,,
21,C24,,,,,4.80,0.40,4.93,0.69,4.90,0.003,,,,,,
22,Statistics,,,,,,,,,,,,,,,,
23,Canonical R,0.92,0.85,0.99,0.64,1.00,0.83,0.95,0.73,1.00,0.64,0.95,0.65,0.99,0.78,0.98,0.75
24,Eigenvalue,5.9,2.69,470,0.77,371,2.13,8.42,1.13,189,0.69,8.87,0.74,201,2.21,27.6,1.31
25,Cumulative proportion,0.69,1.00,0.99,1.00,0.99,1.00,0.88,1.00,0.99,1.00,0.92,1.00,0.99,1.00,0.95,1.00
26,Probability,0.01,0.06,"<0,001",0.409,"<0,001",0.092,0.021,0.260,"<0,001",0.449,0.101,0.606,"<0,001",0.160,0.007,0.365
