,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,LX[],,,,,,qL'VZ F OLT,,,,,,,,,,,,,
1,uns,,,284,-27,,,,,-'89,+9,115,-'89,+4,122,,60,,7,14
2,Jo uns,,,,,,,,,8,,,155,,,,,,,
3,Jo uns,,,,,88,,,,,,,155,44,,,,,,
4,,,,,,,,,,,,,,,,1010,,1010,,
5,,,,,,,10+10,,,,,,100,,,00F00,,1000,,
6,-VOOH,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,00,,
8,,,,,,I,,9,,,,,,0,,,,,,
9,,,,,,,,,,,,,,,,0'0,,1OF00,,
10,,,,,,6,,4,,,30,,,,,601,,,,
11,,,2,,,06,,0,,,8,,,,,,,,,
12,,00,,,+1,,00,,,,,,+,,,00,,,,
13,,+1,,,+,,+1,,,,,,00,,,0'0,,+,,
14,,+1,,,+,,+1,0.2,,,,,::,::,,0'0,,00,,
15,,,,,144,,2,,0,,,,,,90,,,,,
16,onpoid,,,,*,,,,,*,,,,,,,,,,
