,0,1,2,3,4
0,Clone,% of Dry,Total iron in boiled,Total bioaccessible,% Release
1,Location,Weight,roots g/g FW),iron (g/g FW),
2,CIP-194540.5,,,,
3,Satipo,34.33,8.590.78,5.770.02,67.18
4,San,32.53,7.02*0.05,4.09**0.23,58.19
5,Ramon,,,,
6,CIP-190094.91,,,,
7,Satipo,26.87,8.651.19,5.860.24,67.74
8,San,26.04,6.01*0.59,3.86**0.66,64.31
9,Ramon,,,,
10,CIP-189165.9,,,,
11,Satipo,26.00,7.780.48,4.400.34,56.56
12,San,25.17,6.20*0.53,2.24**0.05,36.04
13,Ramon,,,,
14,CIP-189153.8,,,,
15,Satipo,22.52,10.410.71,5.510.27,52.97
16,San,26.75,6.11**0.45,1.52**0.25,24.90
17,Ramon,,,,
18,CIP-105523.1,,,,
19,Satipo,30.20,9.670.91,5.850.51,60.51
20,San,29.23,7.63*0.05,3.79**0.33,49.61
21,Ramon,,,,
22,CIP-105511.1,,,,
23,Satipo,15.73,5.260.20,3.500.35,66.52
24,San,23.35,4.980.24,2.77*0.34,55.63
25,Ramon,,,,
26,Overall Mean,,,,
27,Satipo,,8.39,5.15,61.91
28,San,,6.33,3.04,48.11
29,Ramon,,,,
