,0,1,2,3,4,5,6,7,8,9
0,,Spike 1g/L As,,,Spike 2g/L As,,,Spike 5g/L As,,
1,,Found value (sd),Recovery (sd),Precision (%),Found value (sd),Recovery(sd),Precision (%),Found value (sd),Recovery(sd),Precision (%)
2,,(g/L),(%),,(g/L),(%),,(g/L),(%),
3,AsV,1.08 (0.04),108 (3),4.0,2.03 (0.06),101 (4),3.2,5.16 (0.13),103 (5,2.5
4,AsII,1.10 (0.09),110 (11,8.2,2.03 (0.09),102 (5,4.5,5.28 (0.13),104 (3),2.5
5,MMAV,1.11 (0.06),111 (7),5.7,2.07 (0.08),103 (4,3.7,5.22 (0.18),104 (3),3.4
6,DMAV,1.07 (0.08),108 (5,7.6,2.05 (0.09,103 (6),4.2,5.00 (0.10,100 (4,2.0
7,AB,1.08 (0.08),108 (7,7.2,2.00 (0.10),100 (5,5.0,5.09 (0.07),102 (2),1.3
8,MMMTAV,1.21 (0.11),121 (13),9.1,2.12 (0.07),106 (6),3.2,5.28 (0.11),103 (3),3.0
9,TETRA,1.10 (0.08),110 (9),6.8,2.05 (0.09),103 (6),4.5,5.16 (0.16),103 (3),3.0
10,TETRA,1.06 (0.09),106 (8),8.5,2.08 (0.08),104 (4),3.7,5.05 (0.08),101 (2),1.6
11,TMAO,1.05 (0.12),105 (13),11.4,2.07 (0.11),104 (6),5.1,5.43 (0.10),109 (3),2.2
12,TMAS,1.15 (0.14),115 (13),12.4,1.92 (0.11),96 (6),5.7,5.02 (0.13),100 (3),3.1
13,TMAS,1.16 (0.09),116 (13),7.5,2.04 (0.26),102 (3),12.9,5.09 (0.27),102 (6,5.4
