,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,,89'0 + 94'0,,,,110110,11110,,,,,,100,900  S00,,,7.2,,,142,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,181-060
2,,,,006060,,,,008918,,,,,,,,,2200,,,142,,,,
3,,,,,1111,,,98'0 + 66'7,p.u,,,,240,,,,,,,,,,,
4,,680190,000000,,,,00-100,,,,000,,,,1000,,,,110110,,,,,
5,Gu,680190,000000,,,,00-100,,,,000,,02.4,007,1000,000,14,,110110,,,S,,
6,,4448,,,,,,,,,,,,,,,,,,,,,,
7,Pa,,,,,,,,,,,,,,,,,sZO'OFvZ'O,,,,,00000,
8,,,,,,,,,,,,,,,,,,,,,,IN,00000,
9,,,,,,,,,,,,,,,,,,,,54,,,,
10,IV,,,,,,,,,,,,,,100-1000,,,,,,11114,,,
11,,,,,,,,RrrrsRs,,,,Chiha,,,,,,,,,,Site,,
12,Site,,,,,,,RrrrsRs,,,,Chiha,,,,,,,,,,,,
13,,,,,,,,,,2022,,,,,,,,,,,,,,
