,0,1,2,3
0,,Concentratea,Extruded,Soybean oil/
1,,,linseedb,extruded linseed
2,Raw materials,,,
3,Grain corn flour,47.50,31.00,28.08
4,Dehulled soybean meal,25.00,19.00,13.50
5,50% crude protein,,,
6,Extruded linseed,,14.30,9.00
7,Soybean oil,,,4.50
8,Wheat flour middlings,6.39,11.90,29.00
9,Grain barley flour,6.00,10.00,9.00
10,Soybean hulls,4.00,,
11,Sugar beet dried pulp,3.80,7.00,3.00
12,Sugar beet molasses,3.00,2.00,
13,Limestone,2.10,2.10,1.44
14,Mineral-vitamin premix,2.21,2.70,2.48
15,Chemical composition,,,
16,Dry matter,88.01,87.98,89.21
17,Crude protein,18.08,17.54,16.51
18,Crude fat,5.90,7.07,9.48
19,Ash,6.83,7.05,6.50
20,Neutral detergent fibre,15.42,14.72,18.48
21,Acid detergent fibre,7.25,6.65,6.03
22,Lignin (sa,1.46,1.80,1.44
23,Calcium,1.10,1.11,0.84
24,Phosphorous,0.52,0.55,0.51
25,Net energy lactation (MJ/,6.93,6.55,7.15
