,0,1,2,3,4
0,Fatty acids,Mean,SD,Min,Max
1,C4:0,2.83,1.46,1.50,7.67
2,C6:0,1.88,0.47,1.11,3.75
3,C8:0,1.81,0.36,1.06,2.94
4,C10:0,5.52,1.33,2.67,9.22
5,C11:0,0.04,0.01,0.02,0.06
6,C12:0,3.30,0.84,1.81,6.22
7,C13:0,0.07,0.01,0.05,0.10
8,C14:0,9.47,1.09,7.45,12.08
9,C14:1,0.15,0.07,0.05,0.44
10,C15:0,1.04,0.14,0.73,1.42
11,C16:0,27.52,4.00,21.48,36.56
12,C16:1,1.01,0.30,0.17,2.23
13,C17:0,0.06,0.17,0.02,0.25
14,C17:1,0.06,0.05,0.02,0.25
15,C18:0,10.31,2.07,4.49,14.40
16,C18:1n9t,0.70,0.37,0.22,2.02
17,C18:1n9c,20.12,2.53,14.94,27.16
18,C18:1n7t,4.46,2.27,0.81,9.11
19,C18:1n7c,0.96,0.32,0.38,1.79
20,C18:2n6t,0.43,0.20,0.05,1.01
21,C18:2n6c,3.08,0.73,1.75,5.41
22,C18:2-9c11t,1.79,0.91,0.20,4.23
23,C18:3n6,0.05,0.02,0.03,0.11
24,C18:3n3,1.57,0.61,0.47,2.99
25,C20:0,0.27,0.11,0.15,1.21
26,C20:1,0.10,0.06,0.01,0.35
27,C20:2,0.09,0.03,0.04,0.22
28,C20:3n6,0.03,0.01,0.01,0.10
29,C20:3n3,0.02,0.01,0.01,0.09
30,C20:4n6,0.14,0.05,0.06,0.45
31,C20:5n3,0.07,0.02,0.03,0.03
32,C21:0,0.02,0.00,0.01,0.03
33,C22:0,0.13,0.04,0.02,0.30
34,C22:1n9,0.04,0.19,0.01,1.76
35,C22:5n3,0.13,0.02,0.01,0.28
36,C22:6n3,0.06,0.02,0.02,0.11
37,C23:0,0.09,0.03,0.04,0.19
38,C24:0,0.05,0.02,0.02,0.15
39,C24:1,0.01,0.00,0.01,0.02
40,SFA,65.03,4.49,56.98,75.34
41,MUFA,27.56,3.33,20.71,34.90
42,PUFA,7.42,1.69,3.79,11.49
43,SCFA,12.05,4.86,7.48,19.98
44,MCFA,43.31,4.86,35.25,54.91
45,LCFA,44.64,5.18,31.80,55.30
46,Total C18:1,26.24,3.40,19.11,33.89
47,Total CLA,1.79,0.91,0.20,4.23
48,n-6,3.70,0.73,2.34,5.77
49,n-3,1.84,0.65,0.67,3.25
50,n-6/n-3,45.29,0.89,0.84,4.24
51,DFA,45.29,5.07,33.08,55.74
52,AI,2.13,0.49,1.38,3.65
53,TI,2.26,0.55,1.46,3.91
54,PI,11.54,2.22,6.50,15.83
55,HH,0.72,0.13,0.44,1.00
