,0,1,2
0,,China (n = 13),India+Sri Lankan=13
1,Al,871.27+498.54,581.71138.98
2,Ba,17.7210.99,20.28+8.10
3,Ca,3224.82856.21,3657.78581.92
4,Co,0.260.15,0.15+0.06
5,Cr,1.230.70,1.12+0.82
6,Cs,0.50+0.30,0.18+0.12
7,Cu,19.069.60,21.25+8.79
8,Fe,280.75202.46,102.00+16.33
9,Mg,1653.90266.24,1570.68+141.15
10,Mn,720.18+314.17,367.26+138.15
11,Ni,4.92+1.95,4.081.30
12,Pb,2.09+1.03,0.50+0.24
13,Rb,81.75+31.25,45.93+17.40
14,Sr,8.79+4.02,10.60+3.86
15,Ti,26.30+13.85,24.63+5.30
16,V,0.44+0.31,0.120.06
17,Zn,27.8512.37,24.397.39
