,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Gold,5.3,7.8,1.4,1.7,2.3,1.9,E-,,4.4E-,1.5E-,1.5E-,2.6E-,2.6E-,3.3E-,,1.6E-,,1.8E-06,1.9,3.4E-
1,en,E-,E-,E-,E-,E-,E-,E-,,05,04,04,,05,04,,06,,,E-,06
2,melo,06,06,06,05,05,05,06,,,,,,,,,,,,08,
3,Oran,1.4,3.1,1.4,1.4,2.7,3.7,2.3,,8.3E-,1.2E-,1.2E-,2.1E-,2.1E-,3.2E-,,1.5E-,,2.0E-06,1.9,4.4E
4,ge,E-,E-,E-,E-,E-,E-,E-,,05,04,04,,06,04,,06,,,E-,06
5,ge,06,23,06,06,05,05,06,,,,,,,,,,,,08,
6,Pinea,1.1,1.5,8.3,2.8,3.5,4.7,5.4,,1.1E-,2.5E-,2.5E-,2.1E-,2.1E-,6.7E-,,7.7E-,,1.3E-07,1.9,3.1E
7,pple,E-,E-,E-,E-,E-,E-,E-,,03,04,04,,06,04,,08,,,08,07
8,,03,03,06,03,04,04,06,,,,,,,,,,,,08,
9,Tiger,1.4,4.0,1.0,E-,2.0,1.1,E-,,3.2E-,2.5E-,2.5E-,3.2E-,3.2E-,04,,1.1E-,,1.2E-06,1.9,2.3E
10,nut,04,E-,E-,04,E-,04,04,,04,04,04,,04,04,,06,,,08,06
11,Waln,2.1,1.9,1.4,4.7,4.2,7.9,2.3,,1.6E-,6.3E-,6.3E-,9.2E-,9.2E-,1.4E-,,6.5E-,,7.7E-07,1.9,1.7E
12,ut,E-,E-,E-,E-,E-,E-,E-,,03,04,04,,05,03,,07,,,E-,06
13,,05,05,06,05,04,3.6,06,,,,,,,03,,,,,08,
14,Wate,1.8,E-,E-,5.0,E-,E-,2.3,,8.5E-,1.9E-,1.9E-,1.5E-,1.5E-,6.5E-,,1.9E-,,4.8E-25,1.9,1.9E-
15,rmelo,E-,E-,E-,E-,E-,E-,E-,,05,04,04,,04,04,,08,,,E-,08
16,n,05,05,06,05,05,05,06,,,,,,,,,,,,08,
17,,,,,,,,,,,Children,,,,,,,,,,
18,,,Cd,,,,Cr,,,,,Ni,,,,,,,Pb,,
19,,Me,SD,Mi,Ma,Me,SD,Min,Min,Max,Mea,SD,,Min,Max,Max,Mea,Mea,SD,Min,Ma
20,Appl,an,,5.5,x,an,,,,,n,,,8.3E-,,,n,,,,x
21,Appl,5.7,7.1,5.5,1.4,1.7,1.4,9.1E-,9.1E-,3.6E-,2.1E-,1.3E-,1.3E-,8.3E-,3.6E-,3.6E-,4.5E-,4.5E-,4.2,7.7E-,9.6
22,e,E-,E-,E-,E-,E-,E-,,06,04,04,,04,06,06,04,,06,E-,08,E-
23,,05,9.0,06,04,04,04,,,,,,,,,,,,06,,06
24,Bana,4.5,E-,E-,E-,1.5,2.8,9.1E-,9.1E-,5.6E-,2.2E-,4.0E-,4.0E-,8.3E-,8.2E-,8.2E-,2.9E-,05,4.0,2.0E-,8.8
25,na,E-,E-,E-,E-,E-,E-,,06,03,03,,03,06,06,03,,05,E-,06,E-
26,Carro,4.5,9.8,5.5,2.2,03,03,,,,,,,,,,,,05,,05
27,Carro,4.5,9.8,5.5,2.2,5.0,6.0,9.1E-,9.1E-,1.4E-,2.1E-,2.7E-,2.7E-,1.2E-,6.6E-,6.6E-,6.3E-,6.3E-,8.7,7.7E-,2.1
28,t,E-,04,E-,E-,E-,E-,,06,04,03,,03,04,04,03,,06,E-,08,E-
29,,04,04,5.5,03,05,05,,06,,,,,,,03,,06,06,,05
30,Coco,6.6,2.5,5.5,1.1,1.3,E-,9.1E-,9.1E-,3.4E-,4.0E-,2.9E-,03,5.2E-,8.0E-,03,2.2E-,2.2E-,3.1,7.7E-,7.7
31,nut,E-,06,06,E-,04,04,,06,04,03,,03,04,04,03,,07,E-,08,E-
32,Cucu,3.9,E-,E-,E-,1.4,E-,9.1E-,06,3.2E-,1.5E-,1.4E-,04,8.3E-,3.7E-,04,1.5E-,07,1.7,7.7E-,4.6
33,mber,E-,E-,E-,E-,E-,E-,,06,05,04,,04,06,06,04,,07,E-,08,E-
34,,05,05,06,04,05,05,,,,,,,,,,,,07,,07
35,Date,5.5,2.4,5.5,5.5,8.1,E-,9.1E-,9.1E-,3.7E-,1.1E-,1.5E-,1.5E-,8.3E-,3.7E-,3.7E-,7.1E-,7.1E-,7.7,7.7E-,1.8
36,,06,E-,E-,E-,E-,E-,,06,04,04,,04,06,06,04,,06,E-,08,E-
37,,06,22,06,06,05,04,,,,,,,,,,,,06,,05
38,Gard,5.5,2.4,5.5,5.5,E-,E-,9.1E-,9.1E-,3.1E-,2.0E-,2.1E-,2.1E-,8.3E-,5.4E-,5.4E-,2.4E-,2.4E-,2.2,7.7E-,4.8
39,en,E-,E-,E-,E-,E-,E-,06,06,04,04,,04,06,06,04,,06,E-,08,E-
40,egg,06,22,06,06,04,04,,,,,,,,,,,,06,,06
41,Gold,2.1,3.0,5.5,6.6,9.2,7.6,9.1E-,9.1E-,1.7E-,4.4E-,5.7E-,5.7E-,1.0E-,1.3E-,1.3E-,6.6E-,6.6E-,7.4,7.7E-,1.4
42,en,E-,E-,E-,E-,05,E-,,06,04,04,,04,04,04,03,,06,E-,08,E-
43,melo,05,05,06,05,05,05,,,,,,,,,,,,06,,05
44,Oran,5.5,2.4,5.5,5.5,1.1,1.5,9.1E-,9.1E-,3.3E-,5.1E-,5.0E-,5.0E-,8.3E-,1.3E-,1.3E-,5.8E-,5.8E-,8.0,7.7E-,1.8
45,ge,E-,22,E-,E-,E-,E-,06,06,04,04,,04,06,06,03,,06,E-,08,E-
46,ge,06,5.9,06,06,04,04,,,,,,,,,,,,06,,05
47,Pinea,4.5,5.9,3.3,1.1,1.4,E-,2.2E-,2.2E-,4.3E-,9.7E-,1.0E-,03,8.3E-,2.7E-,03,3.0E-,07,5.0,7.7E-,1.2
48,pple,03,03,E-,02,03,03,05,05,03,04,,03,06,06,03,,07,E-,08,E-
49,Tiger,E-,E-,E-,E-,E-,E-,4.2E-,04,1.3E-,2.4E-,1.0E-,03,1.3E-,3.3E-,03,4.2E-,06,4.6,7.7E-,9.1
50,nut,04,04,04,04,E-,04,,04,03,03,,03,03,03,03,,06,E-,08,E-
