,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,,,17,,go&I'0 F 90'98,q90'0F 0Z'Z-,,go8Z'0 F Z9'b,,,gI0000,,,,,ge800 +686,,gqL046,,,"goZI'0 F I9""I"
1,,,I1I,,60898,,gqbO'OFtO'I,gqbO'OFtO'I,g eS'0 F9'Z8,,g1O0+IO'0,,,,,,,0,q0,,q0
2,,,I1I,,60898,,,,,,g1O0+IO'0,,,,,,,72,,,
3,,,,ge9'Z F 8'L8,gqb'0F 8'L8,900160-,900160-,,,,vqx8F48,vqx8F48,a qeLO*OF 8L'O,g8I'0FZ8'6,g8I'0FZ8'6,q900,,,,,
4,,,82,gqu0I0,,,,,g p&0 F 8'Z8,,vqe6L,vqe6L,vqe6L,gqZt'OF8t'0I,vp000,100001,,qeb'IFO'8,,,900680
5,,vI0'O F Z9'b,,,ge&'0 F 8'98,900680-,gebI'0F89'9,,gq9'0 F L'Z8,gqZ0FZI'9-,,,,vp2Z'0F,vp2Z'0F,v p8O'O F OI'LI,,,qeb06,,qe&I'O F 6O'I
6,0,vI0'O F Z9'b,,,ge&'0 F 8'98,900680-,gebI'0F89'9,VN,,gqZ0FZI'9-,,,,,090,v p8O'O F OI'LI,,,qeb06,,qe&I'O F 6O'I
7,,,9,,vlI'0 F898,,VqI8'0 F 8b'Z,VqI8'0 F 8b'Z,,001-,vq&I'0F60I,,qn&O'OFtS'O,q080,q080,,,,qe0I,,v qe80'0 F b6'0
8,28,,9,,vlI'0 F898,,V q6I'0 F IS'0I,VqI8'0 F 8b'Z,,001-,vq&I'0F60I,,qn&O'OFtS'O,v qSI'OF S8'6,08'8,90,,,56,,v qe80'0 F b6'0
9,,,98,vqe0SF0tZ,qb'0 F 8'98,,,,V qsL'0 F 8'9-,V qsL'0 F 8'9-,aq00I F OO9,aq00I F OO9,aq00I F OO9,vqSO'O F IL'6,,v qE0'0 F Sb'8,sqe&'O F S'9,sqe&'O F S'9,,,128
10,14,,9t,vqr08F008,V qeb'OFL8,,,,,,,009,vnZO'O F 6t'O,,,,,,,,
11,,,6St,V qvZ F 8Z8,vqeb0FS98,qZO'OFI6'O-,qZO'OFI6'O-,,vqI,vqI,,,V qIO'OFtL'O,,,v 9I'0F 0Z'6,pq9I'0F,pq9I'0F,,,q900
12,,,6St,V qvZ F 8Z8,vqeb0FS98,qZO'OFI6'O-,,,10t,8,,009,V qIO'OFtL'O,,,,,,300,,123
13,,"v qb0'0 FS9""b",+,,,qeI0'0 + 88'0-,,,VqSZ F LZb,,,,v20'006,,,,,qeZZ'0F 6t'9,,,
14,,"v qb0'0 FS9""b",,,,qeI0'0 + 88'0-,,NA,VqSZ F LZb,,,,v20'006,,,,,qeZZ'0F 6t'9,,,
15,,Hd,(%) sirtrrts,,*,,,V,,,,,,,,,RA,,-T8und,,
