,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,,,,Calibration curve,Calibration curve,Linearity,,,Precision (RSD %),Precision (RSD %),,,,Accuracy,,,
1,,,,coefficients,,,,,,,,LODfg/,LOQ(g/,,,,
2,Compound,Ions (m/za,LRIb,,,Range,,,Intra-dayd,,,L),L),,Recovery,Added,
3,,,,Slope,Intercept,(g/L),R2,RSD (%),,Level B,daye,L),L),L),(%),(g/L),Recovery%
4,Ethyl esters of fatty acids (EEFAs),Ethyl esters of fatty acids (EEFAs),,,,,,,,,,,,,,,
5,Ethyl butyrate,88/71/60,1023,0.0137,-0.6115,192-4806,0.993,7,2,16,2,58,192,1442,107,4806,87
6,Ethyl hexanoate,88/99/60,1226,0.0156,6.8514,395-9870,0.981,13,3,10,4,119,395,2961,116,9870,86
7,Ethyl octanoate,88/101/27,1435,0.0059,1.4899,809-20236,0.981,6,5,10,8,243,809,6071,106,"20,236",92
8,Ethyl decanoate,88/101/,1637,0.0675,14.8919,379-9486,0.982,6,18,29,12,114,379,2846,83,9486,91
9,,155,,,,,,,,,,,,,,,
10,Ethyl dodecanoate,88/101/,1839,0.0076,1.0735,203-5086,0.985,7,6,23,14,61,203,1526,110,5086,100
11,,183,,,,,,,,,,,,,,,
12,Ethyl myristate,88/157/,2041,0.0234,0.2748,43-1068,0.983,8,5,24,8,13,43,320,85,1068,84
13,,256,,,,,,,,,,,,,,,
14,Ethyl palmitate,88/101/,2249,0.0049,0.0751,37-937,0.991,8,3,15,15,11,37,281,104,937,104
15,,157,,,,,,,,,,,,32.6,,,
16,Ethyl stearate,88/157/,2455,0.0075,0.0091,4.3-109,0.983,5,22,25,14,1.3,4.3,32.6,97,109,106
17,,312,,,,,,,,,,,,,,,
18,Higher alcohol acetates (HAAs),Higher alcohol acetates (HAAs),,,,,,,,,,,,,,,
19,Propyl acetate,61/43,970,0.0048,0.0160,4.2-106,0.980,7,3,18,1,1.3,4.2,31.7,117,106,96
20,Isobutyl acetate,56/43,1004,0.0221,-0.0133,3.6-89,0.984,9,3,17,2,1.1,3.6,26.8,104,89,94
21,Isoamyl acetate,70/55/43,1115,0.0725,3.1188,392-9810,0.981,11,5,17,1,118,392,2943,96,9810,82
22,Hexyl acetate,56/43,1265,0.0161,-0.0190,4.2-105,0.987,7,13,11,6,1.3,4.2,31.6,99,105,98
23,Phenylethyl acetate,104/91/43,1814,0.0566,0.0435,18-459,0.985,10,13,21,18,5,18,138,103,459,83
24,Ethyl esters of branched acids (EEBAs),Ethyl esters of branched acids (EEBAs),,,,,,,,,,,,,,,
25,Ethyl isobutyrate,116/88/71,963,0.0054,0.0748,19-472,0.982,12,1,17,2,6,19,142,81,472,84
26,Ethyl 2-methylbutyrate,102/57/85,1037,0.0969,0.2960,17429,0.980,11,6,18,4,5,17,128,100,428,82
27,Ethyl isovalerate,88/85/57,1060,0.0969,0.6366,17429,0.990,9,5,21,6,,17,129,110,429,82
28,Ethyl phenylacetate,91/105,1781,0.0721,-0.0516,1.1-28,0.984,21,14,11,4,0.3,1.1,8.5,81,28,118
29,Ethyl esters of odd carbon number fatty acids (EEOCNFAs),Ethyl esters of odd carbon number fatty acids (EEOCNFAs),,Ethyl esters of odd carbon number fatty acids (EEOCNFAs),,,,,,,,,,,,,
30,Ethyl heptanoate,88/101,1326,0.0402,0.0624,7.5-187,0.993,5,7,12,7,2.3,7.5,56.2,105,187,105
31,Ethyl nonanoate,101/88,1529,0.0175,-0.0407,7.2-179,0.984,30,29,30,14,2.2,7.2,53.6,64,179,104
32,Methyl esters fatty acids (MEFAs),Methyl esters fatty acids (MEFAs),,,,,,,,,,,,,,,
33,Methyl hexanoate,74/87/99,1180,0.0120,-0.0104,2.0-50,0.990,5,3,10,6,0.6,2.0,15.0,105,50,104
34,Methyl octanoate,74/87/127,1384,0.0717,-0.0016,2.0-51,0.988,6,5,17,6,0.6,2.0,15.2,86,51,108
35,Methyl decanoate,74/87,1588,0.0301,0.0318,2.2-54,0.981,13,19,25,13,0.7,2.2,16.2,90,54,82
36,Cinnamates,,,,,,,,,,,,,,,,
37,Ethyl cinnamate,104/91/,2119,0.0166,-0.0034,1.127,0.983,9,11,28,15,0.3,1.1,8.1,117,27,81
38,Ethyl,104/91/,1877,0.1374,0.0458,1.1-29,0.986,9,17,20,17,0.3,1.1,8.6,117,29,104
39,dihydrocinnamate,178,,,,,,,,,,,,,,,
40,Isoamyl esters of fatty acids (IEFAs),Isoamyl esters of fatty acids (IEFAs),,,,,,,,,,,,,,,
41, Isoamyl butyrate,71/70/55,1258,0.0442,-0.0414,1.8-45,0.991,6,2,11,6,0.5,1.8,13.5,89,45,100
42,Miscellaneous esters,,,,,,,,,,,,,,,,
43,Ethyl propanoate,102/57/75,968,0.0009,0.0406,1878-4696,0.993,6,3,16,3,563,1878,1409,110,4696,87
44,Ethyl valerate,99/56/71,1350,0.0195,0.0153,3.896,0.992,6,6,13,7,1.1,3.8,28.9,93,96,98
45,Ethyl valerate,85/88/101,1128,0.0742,0.0159,7.8-194,0.993,5,,15,3,2.3,7.8,58.4,89,195,84
