,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Sample,n,Water,Fe,Cu,Mn,Zn,Co,Ni,Se,Al,Cd,Pb
1,,,%,mg/100 g dry matter,mg/100 g dry matter,,,,,,,,
2,Rye flour,1,10,2.1,0.3,2.7,2.4,0.001,0.01,0.05,0.6,0.001,0.01
3,"Rye flour,organic",1,8.7,2.2,0.5,3.8,3.6,0.002,0.018,0.001,0.4,<0.001,0.009
4,Rye bran,1,10,3.3,1.0,5.6,5.7,0.006,0.027,0.008,0.5,0.001,0.023
5,Rye bread,1,39.9,3.3,0.5,2.9,2.8,0.001,0.018,0.008,0.8,0.001,0.00
6,Wheat flour,1,11.8,1.3,0.2,0.8,1.1,<0.001,0.006,0.011,0.5,0.003,0.009
7,"Wheat flour, organic",1,8.7,1.5,0.2,1.0,1.4,<0.001,0.011,0.003,0.4,0.002,0.009
8,Wheat bran,1,9.6,11.0,1.4,14.4,8.9,0.01,0.081,0.016,0.8,0.01,0.009
9,Wheat bread,1,31.2,1.6,0.2,0.9,1.1,0.002,0.013,0.009,0.5,0.003,0.00
10,Barley flour,1,9.7,1.9,0.4,1.0,1.8,<0.001,0.006,0.012,0.7,0.001,0.00
11,"Oats, rolled",1,9.1,3.2,0.4,4.5,3.3,0.002,0.139,0.016,0.6,0.002,0.00
12,"Oats, rolled instant",1,8.8,3.7,0.5,4.7,3.4,0.003,0.172,0.017,0.5,0.002,0.013
13,"Oats, bran",1,9.7,6.1,0.5,5.7,4.3,0.003,0.186,0.022,0.4,0.003,0.00
14,Buckwheat,1,9.4,1.9,0.4,1.1,1.7,0.006,0.156,0.008,0.8,0.003,0.01
15,Millet,1,10.6,2.2,0.5,0.9,2.2,0.006,0.216,0.022,0.9,0.003,0.022
16,Rice,1,10.4,0.8,0.2,0.7,0.8,<0.001,0.021,0.003,0.5,<0.001,0.00
17,"Rice, brown",1,10.9,0.9,0.2,2.0,1.5,0.001,0.02,0.004,0.9,0.001,0.00
18,"Rice brown, boiled",1,70.8,1.0,0.5,2.1,1.6,0.001,0.022,0.005,0.6,0.001,0.00
19,Pasta,1,9.7,1.6,0.3,0.9,1.3,0.001,0.018,ND,0.9,0.005,0.004
