,0,1,2,3
0,,Apis mellifera ssp.,Apis mellifera ssp.,Total(N=105
1,,Ligustica,Sicula (N=54,
2,,N=51,,
3,Apigenin,444.8436.6,619.7418.5,534.8434.3
4,Luteolin,n.d.,n.d.,n.d.
5,Kaempferol,2187.5655.3,5649.41739.2,3967.92184.16
6,Quercetin,1461.7691.2,2909.11990.4,2206.11666.4
7,Rutin,47.919.8,19.810.9,33.521.2
8,Myricetin,82.6189.7,131.2352.7,107.6285.12
9,Hesperidin,29.17.2,44.521.9,36.918.2
10,Naringenin,66.4 60.3,113.141.4,90.456.3
11,Pinocembrin,790.6256.3,1439.4748.3,1124.3650.5
12,Caffeic acid,223.3  62.9,555.997.9,394.1186.3
13,Chlorogenic acid,99.839.6,184.638.4,143.457.6
14,Ellagic acid,n.d.,n.d.,n.d.
15,Ferulic acid,53.612.9,55.117.4,54.415.3
16,Gallic acid,24.970.7,22.953.9,23.962.4
17,Syringic acid,5.20.8,144.3173,76.7141.9
18,Vanillic acid,72.4  37.8,208.7106.4,142.5105.6
19,Catechin,n.d.,n.d.,n.d.
20,Epicatechin,n.d.,n.d.,n.d.
