,0,1,2,3,4,5,6,7
0,Protein fractions,Human,Cow,Buffalo,Goat,Sheep,Camel,Donkey
1,Total proteins,9-19,3039,2747,3052,4570,24-42,14-20
2,Total CNs,2.44.2,24.628,3240,23.346.3,41.8-52.6,22.126.0,6.410.3
3,s1-CN,0.77,8-10.7,8.9,013.0,2.422.1,4.95.7,Present
4,2-CN,-,2.83.4,5.1,2.311.6,6.0,2.12.5,Present
5,-CN,3.87,8.69.3,12.6-20.9,029.6,15.9-39.6,14.4-16.9,Present
6,k-CN,0.14,2.33.3,4.15.4,2.813.4,3.212.23,0.80.9,Present
7,Total WPs,6.28.3,5.57.0,6,3.77.0,10.2-16.1,5.98.1,4.98.0
8,-Lg,-,3.23.3,3.9,1.5-5.0,6.513.5,,3.3
9,-La,1.9-3.4,1.2-1.3,1.4,0.72.3,1-1.9,0.83.5,1.9
10,CN-to-WP ratio,29:7133:67,82:18,82:18,78:22,76:24,73:27-76:24,56:44
