,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,,,,(%) a,,,,,,,,,,,,,,,,,,1104,,,,,,
1,,,,HRPC,,,,,,-,,-,,10,,000,,-,,,,,,100>,,-,,
2,,,,,=1,,,000,,00,,,,10,,000,,,,,000,,000,000,,000,,080
3,,,,%a,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,HIPC,,,,-,,,,,,000>,,18,,,,,000,,,0000,,,,0000
5,,,Cu,=u,,,,,,,,,,,,,,,,,,,,,,,,022
6,,,,%a,,,,,,,,,,,,,,,,,,,,250,,,,
7,,,,HRPC,,311,,,,-,,-,,,,340,,,,,9000>,123,,140,,-,,9000
8,,,,,,,,06,900,,900,,800,,,,400,,100,,,,000,,100,,100,
9,,,,%,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,HRPC,,1100,,,,-,,,,,,990,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,100,,,,,,,,,,100,115
12,,,,%a,,,,,,,,,,5.1,,,,,,,,,,,,,,
13,,,,HRPC,,267,,,,,,,,,,117,,,,,+00.0>,4000>,,0000>,,,,0000
14,tree,,,,=1,,900,101,,,000,25.2,00,00,110,,000,,,,,10,,,,,,
15,,,,(%) a,,990-,,,,,,,,104,,,,,,,,,,,,,,
16,1O,,,(%) a,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,HRPC,,,,1,,,,1,,,,1717,,1,,,,26.0,,195,,,,9800
18,,(8,,,=1,,680,,,,,,,,660,,,,100,,,,000,1174,000,,,
19,,,,,,,,,,,,,,,,,,,,%9VH,,,,10%01,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,VH-01J sOOT
21,,,,,,,,,,,,,,,,,,,,,B48,,,,,RFTT,,
