,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,, Soybean oil, Soybean oil,,Olive oil,,,Palm oil,,, Sunflower oil, Sunflower oil,,Almond oil,,,Mustard seed oil,Mustard seed oil,
1,*,Raw Fish,A,B,C,A,B,c,A,B,c,A,B,C,A,B,c,A,B,C
2,Nap,0.03,0.15,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.10,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
3,Acy,0.37,0.39,0.10,0.10,0.10,0.10,0.10,0.33,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
4,Ace,0.34,0.35,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
5,Flu,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
6,Phe,0.2,0.07,0.03,0.07,0.03,0.03,0.03,0.03,0.16,0.07,0.03,0.03,0.03,0.03,0.03,0.07,0.03,0.03,0.07
7,Flt,0.19,0.07,0.07,0.07,0.32,0.07,0.07,0.56,0.16,3.93,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.16,0.07
8,Flt,0.67,0.4,0.17,0.23,0.32,1.01,0.10,0.56,4.10,3.93,0.10,0.6,0.33,0.22,0.43,0.66,0.58,0.16,0.63
9,Pyr,0.52,0.71,0.3,1.2,0.46,0.75,0.98,1.12,2.78,0.65,0.72,0.64,0.65,0.36,0.3,0.51,0.8,0.34,0.51
10,BcP,0.65,0.34,0.73,1.84,0.33,0.38,0.52,2.04,1.71,1.54,0.39,1.22,0.68,0.33,1.36,1.83,2.09,0.34,0.34
11,Chry,0.44,0.31,0.07,0.31,0.3,0.35,0.07,0.67,0.32,0.30,0.07,0.50,0.42,0.21,0.33,0.31,0.51,0.31,0.31
12,Chry,0.37,0.20,0.23,0.21,0.45,0.25,0.45,0.65,0.35,0.30,0.16,0.42,0.41,0.21,0.23,0.21,0.45,0.23,0.23
13,BbF,0.58,0.45,0.23,0.57,0.45,0.11,0.07,0.47,0.66,0.23,0.23,0.23,0.45,0.46,0.46,0.45,0.16,0.23,0.13
14,BbF,0.16,0.13,0.13,0.18,0.14,0.11,0.07,0.17,0.15,0.13,0.13,0.13,0.08,0.14,0.13,0.14,0.16,0.13,0.13
15,BkF,0.13,0.11,0.16,0.27,0.11,0.14,0.17,0.11,0.27,0.16,0.16,0.16,0.18,0.12,0.15,0.11,0.1,0.16,0.16
16,BaP,0.46,0.11,2.48,4.4,0.52,0.14,0.09,0.83,1.21,0.10,8.17,1.96,0.84,1.24,1.08,0.85,2.34,2.42,1.85
17,BaP,0.29,0.11,0.13,0.11,0.13,0.14,0.09,1.48,0.15,3.25,0.07,0.08,0.07,0.13,0.14,0.10,0.13,0.08,0.11
18,DahA,1.61,1.45,1.23,0.78,5.93,7.61,1.74,1.48,1.96,3.25,1.76,3.12,0.69,0.88,1.48,1.25,0.55,0.09,0.85
19,BghiP,0.34,2.05,0.55,0.50,0.33,0.30,0.50,0.30,0.34,0.50,0.50,0.50,0.50,0.52,0.50,0.30,1.03,0.52,0.51
20,"D[a,h]P",0.30,2.06,0.55,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.52,0.30,0.30,0.30,0.16,0.30
21,"D[a,i]P",3.24,0.16,0.16,0.16,0.16,0.16,0.16,1.02,2.87,1.12,0.16,0.16,0.16,0.16,0.16,8.49,5.39,0.16,0.16
22,"D[a,l]P",3.12,0.27,0.27,4.32,0.27,0.27,3.27,0.27,0.04,4.87,5.72,0.27,0.27,0.27,0.27,22.3,4.15,3.63,2.53
23,IndP,0.11,4.19,3.91,4.32,1.83,0.04,3.27,0.06,0.04,4.87,5.72,1.69,3.8,,4.04,3.37,4.15,3.63,2.53
24,22 PAHs,14.2,14.8,11.8,16.1,12.2,13.3,10.1,11.0,18.1,21.6,19.3,12.4,10.2,9.2,11.8,41.8,25.9,10.8,9.5
25,4Rings,1.17,0.91,0.37,0.37,0.37,0.37,0.37,0.60,0.61,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,1.34,0.37
26,4Rings,3.23,3.08,1.43,6.31,1.62,8.94,3.41,5.04,9.26,6.8,1.44,3.38,2.49,1.42,2.65,3.52,4.30,3.11,2.00
27,6Rings,7.11,8.73,5.62,5.55,2.89,1.17,4.50,3.20,3.82,7.06,6.95,2.92,5.03,4.45,5.27,35.0,17.4,5.92,3.77
28,PAH2,0.66,0.87,0.13,0.32,0.34,0.4,0.09,0.78,0.51,0.39,0.07,1.00,0.48,0.35,0.97,0.31,0.45,0.29,0.32
29,PAH4,1.40,0.87,0.13,1.07,0.89,1.0,0.33,1.73,1.24,0.78,7.55,1.00,1.15,0.91,0.97,0.87,1.22,0.59,0.63
30,PAH8,3.47,8.56,6.00,6.18,8.99,9.05,5.34,3.72,3.58,8.89,7.55,5.81,5.65,4.8,6.5,5.49,6.95,4.83,4.52
