,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,Effectsa,A17,A19:1a,A19:1a,A19:1b,A19:1b,A19,,A21:1,,A21,A23,,A25,,Sum of alkylresorcinols,Sum of alkylresorcinols
1,,mean  SDb,,,,,,,,,,,,,,mg kg-1dmSD,mg kg-1dmSD
2,Sowing date,,,,,,,,,,,,,,,,
3,fall,0.850.96,0.890.49,0.890.49,0.220.18,0.220.18,13.235.55,13.235.55,3.471.51,3.471.51,48.074.93,23.604.23,23.604.23,9.672.69,9.672.69,835.1157.6,835.1157.6
4,spring,0.530.42,0.980.30,0.980.30,NS =,0.230.19,11.95 3.30,11.95 3.30,3.39 1.38,3.39 1.38,46.414.84,25.612.93,25.612.93,10.902.40,10.902.40,744.3  136.6,744.3  136.6
5,Significance (LSD),**(0.08,NS-,,NS =,,**(0.43,**(0.43,NS-,,**0.58,**(0.45,**(0.45,**(0.43,**(0.43,**(34.9,**(34.9
6,Accessions,,,,,,,,,,,,,,,,
7,fall sowing,,,,,,,,,,,,,,,,
8,mG1,0.800.15,0.640.15,0.640.15,0.16,0.03,12.89  0.79,12.89  0.79,5.32 1.41,5.32 1.41,39.25  1.69,28.86=,0.60,12.08 1.57,12.08 1.57,734.0  152.2,734.0  152.2
9,mT2,0.10,0.74,0.15,0.09,0.01,14.68  0.39,14.68  0.39,4.54,0.25,39.43038,26.42,0.34,13.32  0.32,13.32  0.32,1039.2  119.5,1039.2  119.5
10,mT3,0.68  0.03,0.88  0.07,0.88  0.07,0.19,0.04,14.05  0.78,14.05  0.78,4.10,0.14,38.95  1.49,25.96  0.21,25.96  0.21,15.182.48,15.182.48,1142.8105.2,1142.8105.2
11,mI4,0.70 0.12,0.89  0.17,0.89  0.17,0.37,0.07,13.57  0.47,13.57  0.47,4.12,0.70,39.69  1.06,27.54  1.39,27.54  1.39,13.12  2.92,13.12  2.92,962.0  135.5,962.0  135.5
12,eG1,0.47  0.07,0.64 0.14,0.64 0.14,0.07,0.01,12.70  0.37,12.70  0.37,2.56,0.56,54.171.46,22.35  1.41,22.35  1.41,7.03  0.24,7.03  0.24,877.2  95.7,877.2  95.7
13,eT2,1.12  0.22,1.19,0.22,0.240.04,0.240.04,13.64 3.37,13.64 3.37,2.96,0.61,49.643.05,21.72  3.84,21.72  3.84,9.501.18,9.501.18,728.1 116.0,728.1 116.0
14,eT3,0.61  0.04,0.920.11,0.920.11,0.180.04,0.180.04,11.690.78,11.690.78,4.940.47,4.940.47,43.930.37,26.74  2.43,26.74  2.43,11.002.01,11.002.01,776.195.5,776.195.5
15,eI4,0.47  0.07,0.450.12,0.450.12,0.140.03,0.140.03,9.81 0.87,9.81 0.87,4.27  0.46,4.27  0.46,49.27 2.56,24.77  0.08,24.77  0.08,10.82 2.00,10.82 2.00,734.2  7.1,734.2  7.1
16,eI5,0.33  0.06,0.71,0.13,0.150.03,0.150.03,10.140.52,10.140.52,3.59  0.71,3.59  0.71,50.190.24,25.421.41,25.421.41,9.46  0.79,9.46  0.79,693.5  32.7,693.5  32.7
17,eI6,0.340.04,0.69,0.02,0.14,0.03,9.72 0.82,9.72 0.82,2.64,0.56,49.230.65,26.40  0.63,26.40  0.63,10.842.13,10.842.13,830.0121.4,830.0121.4
18,eI7,0.440.09,0.630.08,0.630.08,0.200.04,0.200.04,12.12 0.80,12.12 0.80,3.66,0.43,50.050.30,23.970.76,23.970.76,8.930.09,8.930.09,734.653.1,734.653.1
19,eI8,0.46 0.10,0.62,0.12,0.37,0.07,10.78  0.27,10.78  0.27,2.65,0.49,50.510.14,25.00  0.67,25.00  0.67,9.61  1.20,9.61  1.20,791.2  68.6,791.2  68.6
20,eI9,0.44  0.09,0.53,0.10,0.14,0.03,11.39  0.95,11.39  0.95,3.21,0.62,46.133.44,26.61,2.50,11.530.83,11.530.83,720.7  54.8,720.7  54.8
21,eA10,0.02,1.08,0.14,0.12,0.03,10.34 0.89,10.34 0.89,2.98,0.43,1.93,23.93,0.82,9.34  1.79,9.34  1.79,692.4  93.3,692.4  93.3
22,eAl1,0.02,1.05,0.20,0.18,0.04,9.10,0.15,6.31,0.30,1.02,27.06,1.69,12.58,0.12,478.3,104.2
23,eA12,0.09,0.87,0.18,0.10,0.01,9.84,047,4.01,0.81,0.80,25.64,1.14,10.06,0.03,736.2,135.3
