,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,Adheffou,,Barouni,Barouni,,,Boudaoud,,Chemlali Chouamekh,Chemlali Chouamekh,,Chemlali Sfax,Chemlali Sfax,
1,MI,3,5,3,,5,,3,5,3,5,,3,,5
2,Myristic C14:0,0.134,0.064b,0.064b,0.064b,0.013,,0.127a,0.012,0.015,0.014,,0.012,,0.011
3,,0.011,0.011,0.012,,0.007,,0.021,0.007,0.006,0.001,,0.002,,0.001
4,Palmitic C16:0,14.6f  0.1,18.4b  0.4,15.6d.e.f ,15.6d.e.f ,15.4ef,,12.38  0.7,17.8b.c,7.91,14.9f0.3,14.9f0.3,15.5e.f  0.2,,19.90.4
5,,,,0.2,,0.3,,,0.1,0.11,,,,,
6,Palmitoleic C16:1,1.99c.d.e ,2.21b.c.d,1.66,1.66,1.73,,0.62h.i ,2.87,0.798.h ,1.17f0.11,1.17f0.11,2.31b.c,,2.43b 
7,,0.05,0.07,0.07,,0.11,,0.08,0.07,0.02,,,0.02,,0.06
8,Heptadecanoic,0.021b.c ,0.022b.c ,0.021b.c,0.021b.c,0.011,,0.081a.b,0.011,0.092a.b ,0.065a.b.c,0.065a.b.c,0.043b.c,,0.051a.b.c 
9,C17:0,0.002,0.007,0.007,,0.003,,0.006,0.007,0.007,0.014,,0.007,,0.007
10,Heptadecanoic,0.101,0.072,0.023,0.023,0.032a ,,0.022,0.073a,0.121,0.073,,0.111,,0.062a
11,C17:1,0.014,0.007,0.007,,0.014,,0.002,0.006,0.021,0.001,,0.014,,0.007
12,Stearic C18:0,2.65b..d,1.96c-8,1.87d-g,1.87d-g,1.62f.g,,1.01,1.71e.f.g ,2.98a.b ,2.52be,2.52be,1.85d-g,,1.88d-g
13,,0.54,0.05,0.23,,0.05,,0.23,0.13,0.12,0.25,,0.04,,0.22
14,Oleic C18:1,68.3 0.1,62.6f  0.4,69.60.4,69.60.4,68.80.1,68.80.1,81.3a,59.38 0.7,74.5b.c ,75.9b 0.1,75.9b 0.1,65.4f  1.3,,56.6h 1.1
15,,,,,,,,1.2,,0.5,,,,,
16,Linoleic C18:2,15.80.2,14.2d  0.2,11.10.1,11.10.1,11.78  0.1,,3.72,17.2b  0.1,12.ge.f ,4.71h ,,14.1  0.1,,18.8
17,,,,,,,,0.21,,0.1,0.29,,,,0.11
18,Linolenic C18:3,0.111ef,0.131d.e.f ,0.092f ,0.092f ,0.191c.d,,0.101e.f ,0.372a.b ,0.412a.b ,0.093f,,0.352,,0.101f
19,,0.006,0.007,0.001,,0.014,,0.021,0.028,0.021,0.007,,0.014,,0.011
20,Arachidic C20:0,0.141d.e,0.102e.f ,0.112d.e.f +,0.112d.e.f +,0.131d.e,,0.461,0.122d.e ,0.293b ,0.162c.d ,0.162c.d ,0.123d.e ,,0.121d.e
21,,0.007,0.007,0.002,,0.007,,0.035,0.021,0.014,0.007,,0.002,,0.007
22,Gadoleic C20:1,0.251,0.032c.d ,0.023,0.023,0.041c.d ,,0.181,0.243a ,0.014,0.051,,0.022d ,,0.021
23,,0.021,0.007,0.001,,0.007,,0.014,0.021,0.001,0.014,,0.001,,0.002
24,Behenic C22:0,0.042c.d.e ,0.069b ,0.019d.e.f ,0.019d.e.f ,0.049b.c.d ,0.049b.c.d ,0.111,0.049c.d.e ,0.009f ,0.049b.c.d ,0.049b.c.d ,0.059b.c ,,0.039c.d.e 
25,,0.007,0.007,0.007,,0.001,,0.014,0.007,0.007,0,,0.007,,0.007
