,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,Component,Season Spring/Summer,Season Spring/Summer,Season Spring/Summer,,,,,,Season Autumn/Winter,Season Autumn/Winter,Season Autumn/Winter,,,,,,Recommended,Recommended
1,,CHDFCDB,,CROFCDB,,USDAFCDB,,DanisheeDe,DanisheeDe,CHDFCDB,CHDFCDB,CROFCDE,,USDAFCDB,,DanishFcDB,DanishFcDB,,
2,,x,SD,x,SD,x,SD,,SD,X,SD,x,SD,x,SD,x,SD.,Min*,Max*
3,Energy (kJ),7168,530,7427,742,7848a,521,7480,593,7301,271,7558,330,7600,1048,7589,330,4200,11340
4,Protein (g)*,88.4,6,91,8,105a,12,95,10,89,5,90,,99a,15,93,6,25,101
5,Total fat (g)*,68,8,72,17,66,10,62,10,68,6,75,6,66,9,64,5,22,90
6,Carbohydrates (g) #,2156,17,200,12,222,10,224,15,220,14,200,13,213,36,228,12,125,405
7,Sodium (mg),1474,351,1788,538,"2076a,b",391,1643b,284,1397,380,1728,6567,1803b,567,1484b,474,1500$,2300$
8,Calcium (mg),857,150,751,165,937a,190,756,173,831,118,705,170,820,78,704,169,800,1500
9,Magnesium (mg),323,50,2623aa,60,395a,95,323,63,306,37,237,38,360a,34,285,31,375*,700*
10,Phosphorus (mg),1487,179,1503,218,1591,174,1508,140,1508,117,1494,65,1491,214,1469,71,700,1400
11,Iron (mg),15.1,2.9,16.8,3.2,15.9b,5.0,13.8,3.1,13.9,1.8,15.1,2.3,12.5b,1.0,12.7,3.8,14,30
12,Zinc(mg,10.2,2.4,6.2a,1.4,15.1a,1.8,12.0,1.8,9.9,2.6,5.4,1.1,14.9a,2.0,11.8,3.3,10*,15*
13,Copper (mg),0.9,0.3,1.0,0.2,1.3,0.3,1.2,0.2,0.9,0.2,1.0,0.3,1.2,0.1,1.1,0.1,1*,3*
14,Vitamin B (mg),1.3,0.3,1.5,0.2,1.5,0.3,1.5,0.5,1.3,0.2,1.4,0.3,1.4,0.4,1.5,0.5,1.1*,"4,0*"
15,Vitamin B (mg),1.8,0.1,1.8,0.2,2.2,0.4,1.8,0.2,1.7,0.2,1.6,0.3,1.9,0.3,1.7,0.4,1.4*,"4,0"
16,Vitamin B (mg),19.9,2.9,23.2,3.3,24.4,4.5,24.0,5.3,19.1,2.9,21.9,2.9,21.9,4.3,23.8a,2.7,16,35
17,Vitamin B6 (mg),1.9,0.4,2.0,0.2,2.9,0.4,2.6,0.3,1.8,0.4,1.9,0.2,2.8a,0.3,2.6,0.2,1.4*,"6,0"
18,Vitamin C (mg),186,40,221,44,147,44,23,32,203,52,244a,60,161,30,256a,60,80*,500*
