,0,1,2,3,4,5,6,7,8
0,Egg,White,,,,,Yolk,,
1,,raw,80C 6 min,80C 6 min,,100C 30 min,raw,80C 6 min,100 C 30 min
2,1,0.510.04,1.18  0.13,1.18  0.13,,4.14  0.13,1.26  0.04,2.61  0.23,4.710.11
3,2,3.81  0.87,2.94  0.27,2.94  0.27,,2.39  0.03,7.58  0.77,7.050.81,3.71  0.31
4,3,2.14  0.17,1.57, 0.04,,2.39  0.03,3.13  0.26,3.37  0.22,3.34  0.38
5,4,1.76  0.57,1.41, 0.21,,4.5  0.45,3.95  0.61,4.04  0.44,6.07  0.26
6,5, 0.23,4.23,1.16,X,3.79  0.02,10.57  0.48,6.18  0.28,4.25  0.34
7,6, 0.69,4.41,0.61,,5.36  0.08,7.62  0.61,5.62  0.52,5.36  0.12
8,7,3.39  0.5,2.35, 0.25,,3.74  0.04,5.62  0.16,4.19  0.41,4.42  0.39
9,8,3.30  0.21,2.66,0.45,,4.41  0.22,4.69  0.39,3.65  0.04,4.33  0.43
10,9,0.49  0.02,1.18, 0.13,,4.54  0.35,1.48  0.11,3.36  0.33,4.04  0.34
11,10,3.98  0.09,2.63, 0.26,,2.71  0.8,6.47  2.04,3.60  0.13,3.19  0.18
12,11,1.82  .22,1.30,0.11,,3.85  0.51,2.89  0.73,2.49  0.43,3.51  0.10
13,12,1.85  0.28,1.59,0..09,,3.24  0.87,3.41  0.12,4.81 0.43,5.2  0.30
14,13,2.74  0.93,2.77, 0.12,,5.42  0.10,8.92  0.57,5.69  0.22,4.86  0.88
15,14,3.790.75,4.29  0.02,4.29  0.02,,5.39 0.10,8.02  0.81,6.34  0.34,5.40  0.38
16,15,3.81  1.87,2.05  0.1,2.05  0.1,,4.56  0.33,4.91  0.76,3.52  0.15,3.56  0.06
17,16,2.03  0.33,1.86  0.26,1.86  0.26,,/,4.510.09,3.79  0.06,3.95  0.29
18,Average c,,,,,,,,
19,Cage-free,3.29 1.83,2.59  1.23,2.59  1.23,,4.10  0.86,5.54  2.94,4.591.53,4.52  0.87
20,Battery cage,2.56  1.24,2.21  1.02,2.21  1.02,,4.24  1.03,5.08  2.57,4.20  1.30,4.21  0.83
21,Company-1,2.051.30,1.73  0.68,1.73  0.68,,3.730.85,3.77  2.23,3.92 1.47,4.22  1.02
22,Company-2,3.81  1.31,3.08  1.06,3.08  1.06,,4.67  0.74,6.85  2.34,4.871.20,4.52 0.65
23,Total,2.93  1.56A,2.40  1.10A,2.40  1.10A,,4.17  0.91B,5.31  2.68A,4.39  1.39 A,4.37  0.84A
