,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,C/min,C14:0,C16:0,C16:1,C17:0,C17:1,C18:0,C18:1t,C18:1,C18:2t,C18:2,C20:0,C18:3t,C18:3,C20:1,C20:2,C22:0,C22:1,C22:2,C24:0,C24:1,SFA,USFA,MUSFA,PUSFA,TFA
1,Unroasted,0.04,3.77,0.17,0.07,0.06,1.84,0.13,61.46,0.03,16.05,0.45,0.57,8.71,3.42,0.07,0.33,2.58,0.06,0.15,0.07,6.75,93.06,68.12,25.13,0.30
2,100/20,0.05,4.15,0.22,0.07,0.06,1.91,0.15,62.48,0.03,18.39,0.45,0.57,8.83,0.17,0.07,0.13,2.03,0.01,0.20,0.07,6.94,93.06,65.16,27.90,0.74
3,120/20,0.04,3.57,0.21,0.08,0.07,2.03,0.24,62.22,0.04,17.04,0.53,1.91,8.73,2.25,0.11,0.25,2.10,0.01,0.10,0.12,6.60,93.40,67.20,26.19,0.54
4,140/10,0.04,3.89,0.21,0.07,0.06,1.97,0.13,62.18,0.03,16.56,0.51,1.91,8.79,0.35,0.12,0.27,2.61,0.02,0.11,0.19,6.86,84.36,65.73,18.63,0.16
5,140/20,0.04,3.15,0.19,0.08,0.06,2.11,0.15,62.03,0.04,16.73,0.56,2.02,9.68,0.16,0.08,0.26,2.42,0.02,0.11,0.12,6.31,84.02,65.13,18.89,0.18
6,140/30,0.04,4.15,0.20,0.08,0.06,2.10,0.14,60.70,0.03,16.77,0.57,2.52,9.69,0.22,0.10,0.29,2.12,0.02,0.11,0.12,7.33,82.99,63.56,19.43,0.17
7,160/10,0.05,3.90,0.21,0.07,0.06,2.02,0.16,60.64,0.03,16.77,0.54,3.57,8.86,0.36,0.14,0.28,2.04,0.02,0.10,0.17,6.96,84.18,63.65,20.53,0.20
8,160/20,0.04,4.17,0.22,0.08,0.06,2.12,0.15,59.73,0.03,16.93,0.56,2.82,9.70,0.25,0.11,0.28,2.54,0.01,0.10,0.13,7.33,82.97,63.08,19.90,0.18
9,160/30,0.04,4.22,0.22,0.07,0.06,2.09,0.17,60.02,0.03,16.69,0.56,2.71,9.55,0.28,0.11,0.31,2.59,0.00,0.12,0.15,7.42,83.03,63.49,19.54,0.21
10,180/10,0.04,4.02,0.22,0.07,0.06,1.97,0.13,60.19,0.02,16.93,0.58,3.02,9.35,0.13,0.29,0.02,2.62,0.02,0.13,0.18,6.84,83.81,63.53,20.28,0.15
11,180/20,0.04,3.96,0.22,0.07,0.06,2.07,0.23,60.33,0.07,16.13,0.56,2.22,6.82,4.22,0.18,0.30,2.23,0.03,0.12,0.20,7.13,92.88,67.48,25.40,2.51
12,180/30,0.04,3.99,0.20,0.07,0.06,1.97,0.20,60.59,0.05,16.02,0.60,4.10,8.61,0.66,0.18,0.30,2.04,0.05,0.13,0.16,7.10,92.90,63.90,29.00,4.34
13,200/20,0.04,4.15,0.21,0.08,0.06,2.08,0.28,60.10,0.09,16.64,0.54,4.24,5.09,2.88,0.12,0.29,2.83,0.01,0.11,0.15,7.30,92.71,66.51,26.19,4.61
14,220/20,0.05,4.13,0.22,0.05,0.06,1.98,0.09,58.48,1.18,18.53,0.73,4.75,3.33,2.56,0.16,0.59,2.54,0.05,0.24,0.28,7.77,92.23,64.23,28.00,6.02
