,0,1,2,3,4,5,6,7
0,Food items,,Nitrite (mg 100 g1),,,Nitrate (mg 100 g-1),,
1,,N,MeanSD,Median,IQR,MeanSD,Median,IQR
2,Apple,21,0.51  0.27,0.16,0.15-0.19,10.3  0.638,16.2,13.146.7
3,Apricot,19,0.46  0.24,0.33,0.250.62,17.8  9.20,16.6,12.220.2
4,Pears,17,0.43  0.18,0.41,0.280.54,17.3  10.3,16.8,8.3123.8
5,Peaches,25,0.54  0.18,0.54,0.390.67,7.49  3.80,7.79,3.4810.3
6,Cantaloupe,18,0.54  0.31,0.47,0.250.85,46.8  45.4,26.5,10.9-107
7,Melon,19,0.42  0.32,0.32,0.160.58,22.3  15.6,18.3,11.525.5
8,Watermelon,27,0.48  0.23,0.52,0.310.66,11.0  8.16,9.07,5.02-16.3
9,Cherries,28,0.42  0.35,0.22,0.150.62,21.2  12.5,17.7,11.026.1
10,Grapes,19,0.71  0.31,0.72,0.440.98,16.0  7.63,16.9,8.9022.4
11,Kiwi,19,0.55  0.22,0.52,0.380.68,9.65  5.14,9.5,6.9911.2
12,Lemons,30,0.58  0.23,0.57,0.460.66,24.8  9.31,27.2,22.430.4
13,Orange,22,0.45  0.24,0.43,0.250.70,13.2  11.2,9.89,6.9814.7
14,Tangerine,19,0.53  0.26,0.54,0.350.63,32.6  24.8,27.3,17.539.8
15,Plums,27,0.68  0.18,0.67,0.590.81,12.7  8.40,8.9,6.6119.6
16,Banana,20,0.52  0.28,0.56,0.350.61,44.4  16.1,42.5,36.751.9
17,Figs,19,0.51  0.37,0.64,0.130.83,24.1  2.53,22.3,21.426.3
18,Pomegranate,17,0.15  0.01,0.14,0.130.15,9.74  1.32,9.79,8.7810.4
19,Industrial fruit juice,19,0.44  0.12,0.44,0.350.49,125  11.1,6.1,4.0224.2
