,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,,No.,roi,RI,Loureiro,,,,,,Alvarinho,,,,,
1,,,,,W1,,W2,,W3,,W1,,W2,,W3,
2,,,,,C/gL-1,,C/(gL-1,,C/gL-1,,C/(gL-1),,C/(gL-1),,C/gL-1),+
3,Volatile fatty acids-nitrogen metabolism (3),,,,,,,7.6,,,,,,10.8,,6.7
4,2-Methylpropanoic acid,112,,1567,59.2,27.7,52.1,7.6,54.4,39.0,71.4,20.8,56.7,10.8,52.1,6.7
5,3-Methylbutyric acid+2-methylbutyric acid,113+114,a,1667,241.2,115.0,206.9,16.7,234.3,138.7,361.1,88.6,311.7,50.4,269.7,24.5
6,Total,,,,300.4,,259.0,,288.7,,432.5,,368.4,,321.8,
7,2-Furaldehyde,116,a,1460,1.3,0.2,1.5,0.3,5.2,12.2,2.4,0.2,0.6,0.1,6.8,0.9
8,Benzaldehyde,117,,1517,7.4,1.9,7.1,0.7,8.9,5.8,8.3,8.1,7.9,0.8,7.4,0.1
9,4-Ethylbenzaldehyde,118,a,1703,25.5,4.6,25.7,8.7,28.7,17.7,27.6,8.1,27.2,5.1,22.4,1.9
10,Total,,,,34.2,,34.6,,43.8,,38.3,,38.4,,39.3,
11,Pantolactone,119,,2026,3.0,0.8,6.9,2.0,10.5,46.3,2.2,1.1,53.5,1.2,41.9,2.4
12,N-(2-phenylethyl)-acetamide,120,,2575,91.4,24.1,89.5,6.5,92.4,46.3,46.7,13.3,53.5,8.2,41.9,3.3
13,Total,,,,94.4,,96.4,,102.9,46.3,48.9,,58.3,,49.7,
14,Total of volatile compounds,,,,102953.3,,99 468.8,,134450.4,,111889.6,,108 817.4,,115556.6,
15,Total of volatile compounds**,,,,16221.9,,21166.1,,38 585.8,,16 893.2,,21285.3,,33419.6,
