,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Food,,Weight of,,Sodiun,,,Median Neansd(n,,Median Meanesdn,,Median Meantsc(n),,Medien Meansd(n)
1,servingb,,serving g),Median Heanesd(n,Median Heanesd(n,Median Heanesd(n,Median Neansd(n,Median Neansd(n,Median Meanesdn,Median Meanesdn,,Median Meantsc(n),Medien Meansd(n),Medien Meansd(n)
2,Corn grits (hominy,Corn grits (hominy,,,,,,,,,,,,
3,cooked-1/2 cup,cooked-1/2 cup,121,14,8912428,8912428,25,27828,1,1227,17,18727,5.3,5.62.328
4,oil2 cups,oil2 cups,18,,,0(27,41,42728,1,1027,42,44927,18.719.73.928,18.719.73.928
5,Corn flakes,Grain products ready-to-eat cereals,Grain products ready-to-eat cereals,,,,,,,,,,,
6,1cup,,25,2522551628,2522551628,2522551628,24,24228,1,2227,9,101(27,2.5,2.60.428
7,Crisped rice cereal,Crisped rice cereal,,,,,,,,,,31227,,9.91.428
8,1cup,,28,295290,295290,33(28,31,342128,3,1(27),31,31227,9.8,9.91.428
9,Oat ring cereal,Oat ring cereal,25,,,,,,,,,,,9.91.428
10,1cup,,25,249 24344(28,249 24344(28,249 24344(28,85,85628,43,441227,,5(27,31.3,3.72.328
11,1 biscuit,1 biscuit,24,1,1,028,87,6(28,10,10227,83,82727,28.9,28.92.028
12,1cup,,56,322,320,70(28,3393274928,3393274928,28,27427,2152153527,2152153527,82.983.14.528,82.983.14.528
13,"Fruit-flavored,","Fruit-flavored,",,,,,,,,,,,,
14,1cup,,30,141,140,12(28,32,4(28,4,27,26,3(27,8.5,8.61.128
15,1/2 cup,,,42,74228,74228,2572576028,2572576028,55,571827,174,1753827,61.9,63.618.328
16,"Grain products, bread, rolls pasta etc.","hite bread, enriched",,,"Grain products, bread, rolls pasta etc.",,,,,,,,,
17,slice,,23,1221231328,1221231328,1221231328,26,26328,24,2427,22,22227,5.35.0.628,5.35.0.628
18,1slice,Whole wheat bread,23,122,1211328,1211328,55,55828,16,1727,47,47727,19.319.02.828,19.319.02.828
19,Rye bread,Rye bread,,,,,,,,20527,,32627,,
20,slice,,25,164,1692528,1692528,40,1628,22,20527,31,32627,10.43.21.928,10.43.21.928
21,enriched 1 rat,enriched 1 rat,28,1431442028,1431442028,1431442028,35,7(28,24,281127,31,31527,7.1,7.30.828
22,aking powder biscvi,aking powder biscvi,,,,,,,,,,,,
23,"enriched,baked from","enriched,baked from",,,,,,,,,,,,
24,1 biscuit,1 biscuit,28,294,3023828,3023828,72,763128,7,8227,,401411427,5.1,5.20.728
25,olain-1muffin,olain-1muffin,40,182,18233(28,18233(28,45,491728,20,231227,81,802027,5.6,.43.028
26,"Cornbread,scuthern","Cornbread,scuthern",,,,,,,,,,,,
27,21/2x21/2x13/8,21/2x21/2x13/8,55,2512457728,2512457728,2512457728,70,72228,51,511327,77,801127,10.810.9 2.428,10.810.9 2.428
28,6diameter,6diameter,73,409,4064028,4064028,120,1211728,124,1273027,2422412827,2422412827,16.617.64.528,16.617.64.528
