,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Fiber Inqredienta,Fiber Inqredienta,Fiber Inqredienta,,Breadsa,Breadsa,FiberIngredientc,FiberIngredientc,FiberIngredientc,,Breadsd,Breadsd
1,,,,% Saluble (ary weiqht basis),% Saluble (ary weiqht basis),% Saluble (ary weiqht basis),,,Soluble (ug/g dry weight basis),Soluble (ug/g dry weight basis),Soluble (ug/g dry weight basis),,
2,Product b,Fe,Ca,Zn,Fe,Ca,Zn,Fe,Ca,Zn,Fe,Ca.,Zn
3,Control,20.8,3.5,10.7,32.3,28.3,21.8,4.2,7.2,1.5,16.7,167,4.3
4,"Nhite Wheat, Whole",18.5,2.5,5.2,-.e,,,2.5,4.6,1.7,-,.-,-
5,Nhite Wheat DDGS,9.6,0.8,4.8,17.5,11.1,4.3,5.4,4.7,5.1,6.9,146,3.1
6,thite Wheat Bran,9.7,6.6,1.5,20.3,21.2,18.2,4.5,2.8,1.9,8.2,33,5.3
7,"Barley,Whole",9.4,6.1,1.4,,,,5.3,3.9,1.4,,,
8,Barley BSG,16.6,17.2,1.6,21.1,7.8,2.7,4.8,15.5,2.1,9.2,86,2.3
9,Dat Fider,0.7,0.7,8.5,8.8,21.7,6.0,2.9,16.7,1.9,10.1,109,4.2
10,Soy FiDer,21.3,0.2,3.9,70.8,2.3,7.7,4.3,4.7,1.6,31.6,33,2.5
