,0,1,2,3,4,5,6,7
0,,,,HPLC,,,AOAC,
1,,Sample,B2,,B.,B2,,"B,"
2,Chocolate chip cookie,Chocolate chip cookie,0.18,,0.16,0.29,,0.19
3,Shortbread cookie,Shortbread cookie,0.055,,0.28,0.053,,0.28
4,Vanilla wafer,Vanilla wafer,0.23,,0.35,0.27,,0.31
5,Peanut butter cookie,Peanut butter cookie,0.092,,0.25,0.14,,0.22
6,Cheddar cheese cracker,Cheddar cheese cracker,0.31,,0.31,0.35,,0.27
7,Wheat cracker,Wheat cracker,0.37,,0.52,0.40,,0.50
8,Flour,,0.32,,0.62,0.31,,0.58
9,AACCcheck sample,AACCcheck sample,5.9,,5.6,6.2,,6.2
