,0,1,2,3,4,5,6
0,Continents,Population,Population,Total consumption,Total consumption,Per capita,Per capita
1,,Billion,%,Billion,%,L,Index
2,Western.Europe,397,6.1,44.5,27.0,112,448
3,Eastern.Europe,410,6.3,11.6,7.0,28,112
4,Total,807,12.4,56.1,34.0,70,280
5,North America,325,5.0,27.2,16.5,84,336
6,Latin America,565,8.7,28.0,17.0,50,200
7,Total,890,13.7,55.2,33.5,62,248
8,Australia &and Asia,3.646,56.1,39.6,24.0,11,44
9,Africa &and Middle East,1.157,17.8,14.1,8.5,12,48
10,Total,4.803,73.9,53.7,32.5,11,44
11,Total world,6.500,,165.0,,25,
