,0,1,2,3,4,5,6,7,8,9,10
0,Variable,,,,,Calibration,,Cross Validation,Cross Validation,Prediction,
1,methods,Interval (cm1),variables,LV,Classes,Sens.,Spec.,Sens.,Spec.,Sens.,Spec.
2,methods,,,,,(%),(%),(%),(%),(%),(%)
3,iPLS (750 var),[9250-7751;6250-5501],2250,2,Adulterated,100,100,100,100,100,100
4,iPLS (500 var),[9000-8501;8000-7501;6000-5501],1500,2,Authentic,100,100,100,100,100,100
5,iPLS (500 var),[9000-8501;8000-7501;6000-5501],1500,2,Adulterated,100,100,100,100,100,100
6,iPLS(250 var),[9000-8251;8000-7501;6000-5751],1500,2,Authentic,100,100,100,100,100,100
7,iPLS(250 var),[9000-8251;8000-7501;6000-5751],1500,2,Adulterated,100,100,100,100,100,100
8,iPLS(100 var),[9400-9301;9200-9101;8900-8701;8600-8501],500,6,Authentic,100,100,100,100,100,100
9,iPLS(100 var),[9400-9301;9200-9101;8900-8701;8600-8501],500,6,Adulterated,100,100,100,100,100,100
10,iPLS (50 var),[9600-9551;9350-9301;8750-8701;8600-8551;,400,2,Authentic,100,100,100,100,100,100
11,iPLS (50 var),8500-8451;8100-8001;4350-4301],400,2,Adulterated,100,100,100,100,100,100
12,,[9970-9961; 9520-9511;9330-9321; 9200-9191;,,,Authentic,100,100,100,100,100,100
13,iPLS (10 var),9180-9171;8900-8891;8710-8701; 8600-8591;,140,2,,,,,,,
14,iPLS (10 var),8570-8561;8530-8521;8450-8441;8400-8391;,140,2,Adulterated,100,100,100,100,100,100
15,,8100-8091;7360-7351],,,,,,,,,
