,0,1
0,T.Moruca Scorpion Peach,CA1
1,Pimenta De Neyde,CA2
2,T.Moruca Chocolate,CA3
3,T.Moruca Caramel,CA4
4,Carolina Repear Peach,CA5
5,Carolina Repear Purple,CA6
6,7 Pot White,CA7
7,T. Moruca White,CA8
8,7 Pot Orange,CA9
9,Big Mama Yellow,CA10
10,Carolina Yellow,CA11
11,Fataui C,CA12
12,T.Moruca Green,CA13
13,Big Mama Black Mustard,CA14
14,Carolina Reaper,CA15
15,Trinidad Douggam,CA16
16,Sepia Serpent,CA17
17,Carolina Reaper Caramel,CA18
18,Red Tursu Cayenne),CA19
19,Green Tursu Cayenne,CA20
20,Cherry,CA21
21,Habanero Red,CA22
