,0,1,2,3,4,5,6,7
0,,THQ,,,,,,
1,Elements,,,,,,,
2,,Multi-grain bread,Wholemeal bread,Whole wheat bread,Rye bread,White bread,Packaged sale national,Unpackaged sale local
3,Al,0.18,0.20,0.15,0.71,0.16,0.29,0.18
4,Cr,0.10,0.06,0.04,0.11,0.06,0.09,0.05
5,Mn,0.51,0.50,0.52,0.35,0.36,0.51,0.37
6,Co,0.22,0.17,0.08,0.09,0.06,0.15,0.08
7,Ni,0.05,0.02,0.02,0.02,0.02,0.03,0.02
8,Cu,0.56,0.49,0.49,0.42,0.40,0.51,0.42
9,As,0.11,0.14,0.19,0.19,0.19,0.12,0.21
10,Cd,0.06,0.04,0.03,0.03,0.03,0.05,0.03
11,Hg,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01
12,Pb,0.02,0.01,0.02,0.04,0.02,0.02,0.02
13,HI,1.81,1.64,1.54,1.95,1.30,1.78,1.38
