,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Species,K,P,Mg,Ca,S,Na,CI,Si,Fe,Zn,Cu,Mn,Ni
1,B. bambos,4230  60,560  30,210  10,180  10,230  10,20  0.6,1220  40,150  2.8,8.2  0.8,6.8  0.4,2.6  0.4,2.5  0.2,0.9  0.1
2,B. bambos,5980  60,750  50,230  20,190  10,260  20,20  0.6,1530  40,130  1.8,8.0  0.8,10  0.6,2.5  0.4,3.6  0.2,0.7  0.1
3,B. cacharensis,4480  50,550  30,180  10,110 10,250  20,10 0.4,1150  40,120  1.8,5.8  0.6,7.2  0.6,2.4  0.4,2.3  0.2,0.7  0.1
4,B. manipureana,6480  70,670  40,210  20,100 10,260  20,20  0.6,1410  40,110  1.8,5.9  0.6,8.5  0.6,1.6  0.2,1.3  0.1,0.9  0.1
5,B. tulda,5230  60,580  30,200  10,180  10,250  20,20  0.6,1230  40,160  2.8,7.0  0.8,7.7  0.6,1.9  0.2,9.7  0.8,0.8  0.1
6,B. tulda,5210  60,640 50,190  10,10010,280  20,20  0.6,1680 40,120  2.2,7.0  0.8,7.7  0.6,2.4  0.4,2.5  0.2,0.7  0.1
7,B. vulgaris,4190  50,460  30,130  10,11010,.200  10,10  0.4,1660  40,140  2.2,6.7  0.6,6.0  0.4,2.2  0.4,2.5  0.2,0.8  0.1
8,Cephalostachyum capitatum,5630 50,610  50,170  10,180  10,270  20,20  0.6,1200  40,80  0.8,6.8  0.6,9.0  0.8,2.6  0.4,6.0  0.6,1.2  0.1
9,Chimnobambusa callosa,6570  60,750 50,220  10,220  20,280  20,20  0.6,680  20,100  1.8,6.5  0.6,8.0  0.8,3.4  0.6,3.5  0.4,0.9  0.1
10,Dendrocalamus giganteus,4590  50,540  30,190  10,210  20,270  20,40  0.8,590  20,120  1.6,6.9  0.6,6.1  0.4,5.1  0.8,1.3  0.1,0.8  0.1
11,D. hamiltonii,5230 60,560 40,200,150 10,220  20,400.8,870  20,200  2.8,7.4  0.3,6.80.4,2.6  0.4,1.2  0.1,0.7  0.1
12,,,,10,,,,,,,,,,
13,D. latiflorus,5740  60,680  50,220  20,150 10,290  20,30  0.8,1460  40,170  2.8,6.0  0.6,8.4  0.8,2.9  0.4,2.4  0.2,0.7  0.1
14,D. latiflorus,5610  60,580  30,160  10,120  10,230  20,20  0.6,910  30,170  2.8,4.7  0.4,7.9  0.6,1.9  0.2,3.6  0.4,1.2  0.1
15,D. longispathus,5610  60,580  30,200  10,130  10,240  20,10  0.4,950  30,140  2.2,6.8  0.6,8.2  0.8,2.1  0.4,2.3  0.2,0.7 .0.1
16,D. manipureanus,6200  70,63050,240  20,14010,320  20,20  0.6,1270 40,140  2.6,7.9  0.8,9.0  0.8,2.1  0.4,3.2  0.4,0.8  0.1
17,D.membranaceus,6120  70,620  40,200  20,160  10,240  20,90  1.2,930  30,150  2.8,6.8  0.6,8.5  0.8,2.2  0.4,1.5  0.1,0.9  0.1
18,D. sikkimensis,5200  60,530  30,240  20,18010,270  20,30  0.8,880  20,160  2.6,10  0.8,8.3  0.8,2.5  0.4,4.3  0.6,1.1  0.1
19,Melocanna baccifera,6480  60,620  40,30020,210  20,34010,30  0.8,1350  30,120  2.4,7.2  0.8,10  0.8,2.8  0.4,5.5  0.6,1.0  0.1
20,Phyllostachys mannii,6660  70,930  60,230  20,130 10,330  20,60  1.2,850  20,70  1.2,9.1  0.8,10  0.8,2.6  0.4,9.0  0.8,0.8  0.1
