,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,Li,B,Al,Co,Ni,Cu,Zn,As,Sr,Mo,Cd,TI,Fe,Mg,Ca,Na,P,K
1,Li,1.00,,,,,,,,,,,,,,,,,
2,B,0.23,1.00,,,,,,,,,,,,,,,,
3,Al,-0.03,0.08,1.00,,,,,,,,,,,,,,,
4,Co,0.34,0.28,0.15,1.00,,,,,,,,,,,,,,
5,Ni,0.50,0.03,0.23,0.48,1.00,,,,,,,,,,,,,
6,Cu,0.16,0.36,0.09,0.23,0.21,1.00,,,,,,,,,,,,
7,Zn,0.03,-0.04,0.38,0.40,0.38,0.41,1.00,,,,,,,,,,,
8,As,0.16,0.15,0.22,0.11,0.18,-0.15,0.19,1.00,,,,,,,,,,
9,Sr,-0.19,-0.27,-0.25,-0.27,-0.41,-0.26,-0.30,-0.46,1.00,,,,,,,,,
10,Mo,0.09,0.45,-0.01,-0.25,-0.11,-0.03,-0.12,0.41,-0.23,1.00,,,,,,,,
11,Cd,0.31,0.30,-0.01,0.27,0.56,0.38,0.22,0.08,-0.21,0.14,1.00,,,,,,,
12,T1,0.24,0.28,0.29,-0.31,0.26,0.10,0.26,0.09,0.10,0.39,0.06,1.00,,,,,,
13,Fe,0.08,-0.19,0.26,0.32,0.43,0.01,0.38,0.27,0.01,-0.15,0.12,0.32,1.00,,,,,
14,Mg,-0.06,0.17,0.21,-0.07,-0.02,-0.02,0.47,0.02,0.33,0.21,0.11,0.10,0.39,1.00,,,,
15,Ca,-0.01,0.09,0.51,0.01,0.28,0.11,0.50,-0.08,0.13,0.09,0.26,-0.16,0.28,0.62,1.00,,,
16,Na,-0.14,0.08,0.71,0.12,0.39,-0.06,0.29,0.40,-0.42,0.02,0.02,-0.44,0.27,0.04,0.35,1.00,,
17,P,0.02,0.30,0.20,0.17,0.27,0.67,0.57,0.10,-0.08,0.18,0.33,0.05,0.24,0.40,0.41,0.25,1.00,
18,K,0.11,0.21,0.00,-0.32,-0.29,0.16,-0.07,0.25,0.17,0.54,-0.21,0.50,0.05,0.35,-0.00,-0.11,0.29,1.00
