,0,1,2,3,4,5,6,7,8,9
0,Sample,Day 1(g/100g),,Day 2 (g/100g)a,,Day 3(g/100g),,MeanSD,"RSD, b",HorRatc
1,,Replicate-1,Replicate-2,Replicate-1,Replicate-2,Replicate-1,Replicate-2,,,
2,Spreads/margarines,,,,,,,,,
3,Light mayonnaise,0.682,0.693,0.709,0.704,0.664,0.667,0.686  0.01,2.7,0.6
4,Spread/margarine-1,0.809,0.801,0.777,0.779,0.783,0.781,0.788  0.01,1.7,0.4
5,Spread/margarine-2,2.83,2.88,0.742,2.88,0.759,0.758,0.753  0.01,1.0,0.2
6,Spread/margarine-3,2.83,2.88,2.89,2.88,2.89,2.89,2.88  0.02,0.8,0.2
7,Spread/margarine-4,3.85,3.86,3.81,3.77,3.80,3.86,3.82  0.04,1.0,0.3
8,Beverages,,,3.81,,,,,,0.3
9,Milk,0.159,0.156,0.155,0.155,0.155,0.155,0.156  0.00,0.9,0.2
10,Orange juice,0.552,0.433,0.418,0.522,0.424,0.423,0.423  0.01,1.8,0.4
11,Protein shake-1,0.552,0.560,0.513,0.522,0.515,0.516,0.529  0.02,3.9,0.9
12,Protein shake-2,5.26,5.24,5.27,5.21,4.07,4.10,4.86  0.60,12.3,3.9
13,Instant coffee,7.72,7.55,6.93,7.29,6.15,6.12,6.96  0.69,9.9,3.4
14,Baked goods,,,,,,,,,
15,Brownie,0.639,0.611,0.611,1.16,0.588,0.601,0.611  0.02,2.8,0.6
16,Whole wheat pita,1.58,1.58,1.45,1.45,1.10,1.08,1.16  0.06,4.9,1.3
17,Oatmeal square-1,1.58,1.58,1.45,1.45,1.44,1.48,1.50  0.07,4.4,1.2
18,Oatmeal square-2,1.62,1.58,2.62,1.43,1.52,1.48,1.52  0.07,4.7,1.2
19,Oatmeal cookie,2.82,2.74,2.62,2.60,2.71,2.75,2.70  0.08,3.0,0.9
20,Dietary chews,,,,,,,,,
21,Dietary chew-1,7.93,7.65,7.68,7.67,7.80,7.67,7.73  0.11,1.4,0.5
22,Dietary chew-2,9.56,9.70,9.65,9.46,9.62,9.69,9.61  0.09,1.0,0.3
