,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,4-75,,25.41,5.32,12.80,,0.03,0.52,,8-26b,7.8,9.22,2.95,1.96,2.11,1.88,0.23,
1,4-78,26.7,23.87,10.54,11.57,1.77,0.20,1:57,D,8-29a,4.8,3.49,1.39,0.94,1.17,1.03,0.14,
2,4-82a,5.9,5.38,1.98,2.25,1.15,0.07,1.08,D,8-34,5.5,3.87,1.35,1.09,1.43,1.30,0.12,A
3,4-82b,27.9,22.16,1.38,2.25,1.41,0.05,1.36,,8-35a,15.4,11.83,3.78,3.88,4.17,3.72,0.45,A
4,6-5,51.8,48.81,5.08,9.27,34.46,0.34,34.12,,8-36c,8.0,6.14,1.96,2.01,2.17,1.93,0.23,A
5,6-7b,56.1,0.65,0.11,0.26,0.28,0.00,24.18,,8-37,27.2,2.07,5.03,0.92,0.65,4.53,0.36,A
6,6-7b,1.3,0.10,0.11,0.26,0.28,0.00,0.28,,8-39,27.2,4.55,1.31,2.41,0.83,0.71,0.13,
7,6-8c,1.7,0.10,0.05,0.02,0.03,0.00,0.25,,8-39,23.8,4.55,1.31,2.41,3.89,3.30,0.60,
8,6-11,67.4,62.68,59.31,3:28,0.67,0.00,0.67,,8-43,0.9,0.36,0.11,0.07,0.18,0.15,0.03,
9,6-14,46.4,44.29,9.51,0.55,27.52,0.00,27.52,,8-45,0.5,0.18,0.33,0.04,0.08,0.45,0.02,
10,6-15.,4.5,2.25,1.04,0.55,0.66,0.00,0.66,,8-45,2.1,1.00,0.33,0.78,0.55,0.25,0.30,
11,6-25c,72.0,49.92,9.35,24.89,15.69,0.10,15.59,A,8-47b,4.5,1.98,0.58,0.40,1.00,0.76,0.24,B
12,7-1b,49.1,0.40,0.12,0.03,0.25,0.08,0.17,A,8-52,6.8,0.94,0.37,0.21,0.36,0.31,0.05,33
13,7-2,1.0,0.40,0.12,0.03,0.25,0.08,0.17,,8-53,1.5,1.31,0.51,0.30,0.50,0.44,0.06,33
14,7-3b,1.0,0.40,0.12,0.03,0.25,0.08,0.17,A,8-56,1.1,0.69,0.27,0.16,0.26,0.23,0.03,A
15,7-5,1.4,0.78,0.16,0.12,0.50,0.32,0.18,A,8-58b,6.3,3.93,1.54,0.89,1.50,1.32,0.19,A
16,7-9,2.4,1.45,0.06,0.46,0.14,0.02,0.12,,8-60b,2.7,1.74,0.47,0.58,0.70,0.62,0.08,A
17,7-13,1.3,0.79,0.15,0.21,0.42,0.03,0.40,B,8-61b,6.1,4.39,1.06,1.31,1.58,1.39,0.19,A
18,7-14,1.7,1.04,0.20,0.28,0.55,0.03,0.52,,8-61b,6.8,4.39,1.18,0.28,1.76,0.30,0.04,A
19,7-18a,9.0,7.90,1.22,1.71,1.49,0.26,1.23,,8-63,8.1,5.74,2.02,1.99,1.72,1.55,0.17,A
20,7-18a,2.7,2.54,0.39,0.55,1.60,0.28,1.32,A,8-66,1.4,1.16,0.28,0.67,0.22,0.20,0.03,A
21,7-21c,3.8,3.33,0.67,0.78,1.89,0.23,1.66,A,8-68,0.4,0.22,0.05,0.04,0.12,0.12,0.01,
22,7-21d,3.2,2.81,0.56,0.65,1.59,0.19,1.40,,8-71a,3.1,2.24,0.82,0.98,0.44,0.34,0.09,B
23,7-28a,7.2,3.78,1.27,0.87,2.14,0.31,1.83,,8-71b,3.7,2.67,0.98,1.17,0.52,0.41,0.11,B
24,7-30,8.1,7.11,1.12,1.41,4.58,0.81,3.77,,8-74,2.2,1.49,0.50,0.53,0.46,0.40,0.06,B
25,7-35,11.5,10.91,1.84,2.14,4.58,1.12,3.77,,8-80a,7.3,5.47,1.29,2.64,1.55,1.45,0.09,
26,7-36,3.2,10.91,1.84,0.62,6.93,0.32,1.55,,8-82,2.4,1.80,0.42,0.87,0.51,0.48,0.03,
27,7-37,2.7,2.37,0.40,0.46,1.79,0.24,1.26,,8-84b,14.1,11.52,3.38,4.61,3.53,3.18,0.35,A
28,7-39c,1.6,1.40,0.28,0.33,0.79,0.10,0.70,,8-85a,19.6,16.01,4.70,6.41,4.90,4.42,0.48,
29,7-40b,28.0,24.52,4.92,3:79,13.89,1.69,12.20,,8-87.,8.0,6.53,1.92,2.62,2.00,1.81,0.20,
30,7-42,1.8,1.36,0.40,0.16,0.81,0.25,0.56,,8-88d,26.4,23.19,4.80,8.72,9.67,4.17,5.50,A
31,7-43a,1.5,1.13,0.42,0.21,0.63,0.55,0.47,,8-89,22.7,8.08,2.57,1.88,3.62,2.76,0.86,
32,8-1.,3.3,2.86,0.62,2.22,0.63,0.55,0.08,,8-93,22.7,8.08,2.57,0.45,0.25,0.22,0.02,B
33,8-4b,8.5,6.34,2.26,2.22,1.86,1.68,0.18,,8-93,1.1,0.89,0.20,0.45,0.25,0.22,0.02,B
