,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,8-120b,1.6,1.04,0.21,0.27,0.34,0.17,0.17,A,8-242,16.5,10.74,2.58,3.72,4.43,3.92,0.52,A
1,8-123,1.2,0.61,0.19,2.32,0.32,0.25,0.73,,8-244,0.8,0.40,0.10,0.13,0.17,0.12,0.05,13
2,8-125,17.0,14.13,3.35,8.08,2.70,2.39,0.31,,8-247,0.7,0.35,0.10,0.07,0.17,0.16,0.01,A
3,8-129b,3.3,1.59,0.42,0.46,0.72,0.68,0.04,,8-251,12.0,1.05,0.31,0.22,0.52,0.49,0.03,
4,8-131,2.2,0.97,0.28,0.19,0.49,0.37,0.12,A,8-253,12.4,11.23,0.59,0.42,0.99,0.91,4.17,
5,8-132,1.3,0.57,0.17,0.11,0.29,0.22,0.07,,8-254,0.6,0.30,0.59,0.06,0.15,0.14,0.06,
6,8-139b,2.9,1.99,0.47,0.81,0.72,0.42,0.29,A,8-257,6.7,5.80,3:35,0.03,0.07,0.07,0.00,B
7,8-146a,9.4,6.63,1.49,2.54,2.60,2.36,0.23,A,9-4b,7.7,5.49,2.34,1.57,1.57,0.15,0.75,B
8,8-148,4.3,3.03,0.68,7.24,1.19,1.08,0.11,,9-5c,14.3,12.94,5.48,7.08,0.37,0.01,0.36,A
9,8-152,2.1,1.11,0.37,0.45,0.29,0.25,0.04,,9-7c,18.6,16.47,7.31,8.69,0.48,0.02,0.26,A
10,8-153b,5.8,3.06,1.02,1.24,0.80,0.69,0.11,,9-9c,16.8,14.97,6.49,8.06,0.31,0.01,0.30,A
11,8-157,5.0,4.11,0.93,1.91,1.28,1.17,0.10,A,9-10e,3.6,3.09,1.43,1.56,0.10,0.00,0.10,
12,8-160b,10.0,7.95,2.21,4.09,1.65,1.44,0.21,,9-12c,8.4,7.19,3.08,3.88,0.22,0.02,0.42,A
13,8-165,4.3,3.32,0.87,5.28,1.17,0.79,0.39,,9-14c,20.3,18.29,7.83,9.99,0.48,0.02,0.46,A
14,8-168,6.5,3.29,0.92,0.93,1.44,1.30,0.14,A,9-14e,3.8,3.28,3.48,1.72,0.26,0.01,0.25,A
15,8-170,0.5,0.15,0.05,0.04,0.06,0.04,0.02,,9-16c,2.6,1.72,0.74,0.86,0.12,0.00,0.12,
16,8-173b,0.8,0.24,0.08,0.07,0.10,0.07,0.02,,9-17c,1.5,0.99,0.43,0.49,0.07,0.00,0.07,A
17,8-176,5.8,1.59,0.56,0.42,0.61,0.27,0.34,A,9-19c,11.8,10.46,1.18,1.56,0.18,0.01,0.18,A
18,8-177a,0.5,0.14,0.05,0.04,0.05,0.02,0.03,A,9-20c,4.5,3.75,1.50,2.10,0.15,0.01,0.29,
19,8-177b,0.1,0.03,0.01,0.01,0.01,0.00,0.01,A,9-21c,6.2,5.04,2.27,2.53,0.24,0.01,0.24,
20,8-180a,2.4,1.26,0.40,0.31,0.55,0.32,0.06,,9-30,23.1,8.43,3.96,9.41,0.90,0.02,0.88,A
21,8-185,1.1,0.33,0.12,0.09,11.71,0.05,0.08,B,9-32,18.9,14.57,5.77,8.15,0.64,0.03,0.61,A
22,8-186,0.5,0.15,0.05,0.04,0.06,0.02,0.03,B,9-33,8.0,6.48,1.97,3.28,0.15,0.00,0.15,A
23,8-188,2.2,0.66,0.22,0.18,0.26,0.20,0.07,,9-36a,4.4,3.15,1.02,1.52,1.23,0.10,1.08,
24,8-191,0.6,0.18,0.06,0.05,0.07,0.05,0.04,,9-37.,3:7,1.94,0.63,0.93,0.37,0.06,0.31,B
25,8-194,0.7,0.16,0.05,0.04,0.07,0.06,0.02,,9-38b,6.4,4.56,1.70,1.90,0.96,0.78,0.36,B
26,8-196b,1.5,0.71,0.21,0.09,0.41,0.37,0.04,,9-39,20.6,4.56,1.70,1.90,0.96,0.78,0.19,A
27,8-197a,0.3,0.08,0.02,0.01,0.05,0.04,0.00,A,9-40a,29.4,20.95,7.80,8.72,3.10,2.50,0.60,A
28,8-197b,0.1,0.03,0.01,0.00,0.02,0.01,0.00,,9-40b,4.0,2.85,1.06,1.19,0.60,3.57,0.12,
29,8-201,1.3,0.33,0.11,0.09,0.14,0.07,0.07,,9-42,0.5,0.36,0.13,0.15,0.08,0.06,0.01,A
30,8-202,3.3,1.44,0.42,0.48,0.54,0.46,0.09,B,9-44,6.5,5.27,1.60,2.67,1.00,0.13,0.87,B
31,8-203,10.0,0.88,1.26,0.29,1.64,0.28,0.05,B,9-46a,18.6,4.78,1.45,2.42,0.91,0.11,0.79,B
32,8-206b,1.7,0.66,0.23,0.05,0.38,0.36,0.02,,9-47a,16.5,14.60,4.62,7.52,2.91,0.38,2.54,A
33,8-209,2.5,0.98,0.34,0.07,0.56,0.53,0.03,,9-48a,10.1,7.24,2.35,3.49,2.55,0.22,2.29,A
34,8-211,1.9,0.74,0.26,0.05,0.43,0.40,0.02,,9-50a,10.6,9.18,2.84,4.70,1.65,0.18,1.46,A
35,8-211,1.9,0.74,0.26,0.05,0.43,0.40,0.02,,9-50a,2.5,2.03,0.61,1.03,0.39,0.05,0.34,A
