,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Country,Energyl,Protein/g,Fat/g,CHO/g,Ca/mg,P/mg,Fe/mg,K/mg,Na/mg,Req,VitC/mg,mg
1,,kcal,Protein/g,,,,,,,,Req,,mg
2,Argentina,,,,,,,,,,,,
3,Local,131,10,2.3,12.6,26.6,50.6,0.8,346,366,NA,16.1,NA
4,PURE-USDA,118,5.6,5.9,,16.5,83,0.7,357,364,49.6,16.9,13.8
5,Zimbabwe-USDA,114,7.2,4.0,12.5,14.4,71.6,1.2,346,367,46,13.1,5.0
6,Brazil,,,,,,,,,,,,
7,Local,371,7.2,29,20.4,27.7,67.4,1.9,18.4*,305.3,9.7,1.5,1.2
8,PURE-USDA,303,7.7,22,19.2,36.2,95.1,1.3,309,443.6,0.03,1.3,33.5
9,Zimbabwe-USDA,300,1.4,21.8,19.3,21.8,101.5,1.2,264.9,443.4,0.03,0.7,46.3
10,Zimbabwe,,,,,,,,,,,,
11,Local,225,12.7,18.4,2,12.6,78.2,1.8,187,1007,4.6,4.9,9.5
12,PURE-USDA,161.3,18.3,8.4,2.,11.2,109,2.1,201.6,1007,4.6,2.45,7.7
13,UAE,,,,,,,,,,,,
14,USDA,167.5,11.8,4.02,5.6,12.7,75.6,1.4,210,221.2,2.2,5.05,7.5
15,Zimbabwe-USDA,106.3,11.7,4.02,5.4,11.2,79,1.5,219,200.3,2.8,5.05,6.5
