,0,1,2,3,4,5
0,Survey,Institutions and/or,Level,Date,Primary objective,FCT/FCDB
1,,bodies involved,,,,
2,Study on food,Direccion General de,Regional,2000-2001,To obtain sufficient,Farran et al.
3,consumption in,Salud Publica.,(Basque,,experimental data to,(200323
4,the Basque,Departamento de,Country),,develop and validate,Moreiras Varela
5,Country,Sanidad.Gobierno,,,a nutritional program,et al. (2001)51
6,,Vasco. The study is,,,and to obtain,EPIC-Spain FCDB:
7,,part of the European,,,information on,Slimani et al.
8,,"Monte Carlo project,",,,pesticide intake in 8,199152;Farran
9,,funded by the,,,to 12-month-old,199653;Gonzalez
10,,European,,,infants.To evaluate,et al. (2001)54
11,,Community's Fifth,,,nutrient and pesticide,
12,,Framework Program,,,intake and the food,
13,,for Research and,,,consumption pattern,
14,,Development,,,in this population,
15,Food,Unidad de Nutricion,Regional,1988-1989,To evaluate the,EINUT I:Moreiras
16,consumption,Comunitaria.,(Basque,1999-2000,pattern of food,Varela et al.
17,model in the,Ayuntamiento de,Country),,intake in the adult,(199218
18,Basque Country,Bilbao.Programa de,,,population,Paul and
19,(EINUT I and,Nutricion.Gobierno,,,,Southgate (1991)55
20,EINUTII),Vasco,,,,Renaud and Attie
21,,,,,,(1986)56
22,,,,,,Fidanza (1984)57
23,Balearic Islands,Gobierno de las Islas,Regional,1999-2000,To assess the,Spanish and
24,Nutrition Study,Baleares,(Balearic,,nutritional status of,European FCTs and
25,(ENIB),,Islands),,the healthy adult,available regional
26,,,,,population,food information
27,Canary Islands,Gobierno de las Islas,Regional,1997-1998,To assess dietary,Mataix-Verdu
28,Nutrition,Canarias,(Canary,,habits and nutritional,et al.(199849 and
29,Survey (ENCA),,Islands),,"status using dietary,",available regional
30,,,,,anthropometric and,food information
31,,,,,biochemical,
32,,,,,indicators together,
33,,,,,with lifestyle,
34,,,,,determinants and the,
35,,,,,prevalence of the,
36,,,,,main cardiovascular,
37,,,,,risk factors,
38,Study of food,Junta de Castilla y,Regional,2008,To identify the eating,Mataix-Verdu
39,and nutrition in,Leon,(Castilla y,,habits and nutritional,et al. (200330
40,the population,,Leon),,status of the adult,Moreiras Varela
41,of Castilla y,,,,population,et al. (2005)58
42,Leon,,,,,
