,0,1,2,3,4,5
0,,Intake(mean standard deviation),Intake(mean standard deviation),,,
1,,as estimated with,,,,
2,Jutrient(units day,Fourth version,Fifth version,Difference in meant,P-value,% change
3,Energy (kcal),1818422,1945447,127,**,7.1
4,Protein (g),67.018.4,66.818.6,-0.2,**,-0.4
5,Carbohydrate(g),27773,30679,29,**,10.4
6,ipid(g,47.1  17.3,47.9  18.3,0.8,**,1.6
7,Dietary fibre (g),13.06.0,17.17.0,4.1,**,38.1
8,Water-soluble (g,2.581.50,3.481.46,0.90,**,62.7
9,Water-insoluble(g),104.45,12.155.05,2.11,**,25.6
10,Minerals,,,,,
11,Ca (mg),600249,610253,10,**,2.8
12,P (mg),951286,1020304,69,**,7.5
13,Fe (mg),10.03.2,8.93.0,-1.1,**,-10.8
14,K (mg),2583959,2666961,83,**,3.4
15,NaCl1(g),10.8  4.0,10.5  3.8,0.3,**,-0.6
16,Vitamins,,,,,
17,Vitamin A (g REIl),830826,1066852,236,**,40.0
18,Vitamin B(mg),0.830.31,0.800.32,-0.03,**,3.3
19,Vitamin B2(mg),1.23  0.43,1.21  0.44,-0.02,**,0.9
20,Vitamin C (mg),12773.3,126.271.0,-0.5,NS,1.4
21,Niacin (mg),12.36.1,13.77.6,1.5,**,11.6
22,Fatty acids,,,,,
23,Saturated (g),9.95.0,12.46.1,2.5,**,34.0
24,Monounsaturated (g),12.75.9,14.8  6.7,2.0,**,20.9
25,Polyunsaturated (g),10.4  4.8,11.75.1,1.3,**,14.7
26,Cholesterol (mg),230161,281161,51.6,**,73.2
