,0,1,2,3,4,5,6,7,8
0,,,,Foods seleceted for substitution,,Foods seleceted for substitution,,,Foods
1,Result of substitution,,,Substituted,,,Not,Total,with
2,Method for substitution,Method,Method,Method,Method,Total,sub-,,fatty aicd
3,,A,B,C,D,,stituted 2,,composition
4,Cereals,53 (70),12(16),7(9),4 (5),76 (100),0,76,116
5,Potatoes and starches,667,111,2 (22),0(0),9 (100),1,10,14
6,Sugars and sweeteners,0-),0(--,0(--),0(,0 (--),0,0,0
7,Confectioneries,11,0(0),0(0,88 (99),89 (100),0,89,102
8,Fats and oils 2,0--,0 (--),0--),0--,0--,0,0,9
9,Nuts and seeds,5 (33),5(33),5 (33),00,15 (100),0,15,31
10,Pulses,27 (79),1(3,4 (12),2(6),34 (100),0,34,58
11,Fishes and shellfishes,114 (62),62 (34),2(1),5(3),183 (100),1,184,313
12,Meats,78(87),1213,0(0,0(0,90(100,3,93,201
13,Eggs,10(83),0(0,2(17),00,12(100,0,12,19
14,Milks,29 (88),2(6),2(6),0(0),33(100),0,33,48
15,Vegetables,25 (26),33(34),40 (41),0(0,98 (100),8,106,142
16,Fruits,19 (25),16 (21),41 (54),00,76(100),0,76,87
17,Fungi,8(73),3 (27),0(0,00,11(100,0,11,18
18,Algae,14 (48),15 (52),0(0,00,29 (100),0,29,37
19,Beverages,650,4 (33),1(8,18),12100,3,15,17
20,Seasonings and spices,5(19),4(15,18(67),00,27 (100),9,36,33
21,Total,400 (50),170(21),12416,100(13,794 (100),25,819,1245
