,0,1
0,,Nutrients (Unit)
1,Energy (kcal),
2,,Total protein (g)
3,Macronutrients,Total carbohydrate (g)
4,,Total fat (g)
5,,Vitamin A (RAE)
6,,Vitamin D (g)
7,Micronutrients,Calcium (mg)
8,,Iron (mg)
9,,Sodium (mg)
10,Fiber (g),
11,Added sugar (g),
12,Animal and vegetable proteins (g),Animal and vegetable proteins (g)
13,Saturated fatty acids (g),
14,Monounsaturated fatty acids (g),Monounsaturated fatty acids (g)
15,Polyunsaturated fatty acids (g),Polyunsaturated fatty acids (g)
16,Trans-fatty acids (g),
17,Cholesterol (mg),
