,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,12-96,0.1,0.04,0.01,0.00,,0.00,0.03,,13-72a,0.2,0.07,0.03,0.01,0.03,0.01,0.02,
1,12-98a,0.1,0.05,0.01,0.00,0.04,0.03,0.01,,13-72b,2.0,0.70,0.32,0.10,0.28,0.07,0.02,A
2,12-98b,0.1,0.05,0.01,0.00,0.04,0.03,0.01,,13-74,0.1,0.03,0.02,0.01,0.01,0.00,0.01,A
3,12-101c,0.2,0.08,0.02,0.01,0.05,0.05,0.01,,13-75,0.1,0.04,0.02,0.01,0.01,0.00,0.01,A
4,12-104,0.2,0.14,0.03,0.07,0.03,0.00,0.03,,13-77,0.1,0.04,0.01,0.02,0.01,0.00,0.01,B
5,12-105a,0.1,0.02,0.01,0.00,0.01,0.01,0.00,B,13-78,0.1,0.07,0.02,0.00,0.04,0.02,0.02,
6,12-106,0.1,0.04,0.01,0.00,0.03,0.02,0.01,430334,13-80a,0.1,0.08,0.02,0.00,0.04,0.02,0.02,
7,12-113a,0.1,0.04,0.01,0.00,0.03,0.02,0.01,430334,13-80a,0.1,0.07,0.02,0.00,0.04,0.02,0.02,
8,12-115a,0.1,0.02,0.01,0.00,0.01,0.01,0.01,430334,13-80b,0.1,0.10,0.02,0.00,0.04,0.02,0.02,
9,12-121a,0.1,0.05,0.02,0.00,0.03,0.00,0.03,430334,13-81b,0.3,0.30,0.01,0.12,0.05,0.00,0.15,
10,12-124,0.1,0.07,0.03,0.02,0.02,0.00,0.02,B,13-83a,0.1,0.10,0.01,0.04,0.05,0.00,0.05,
11,12-132a,0.1,0.08,0.02,0.00,0.03,0.02,0.00,,13-84a,0.1,0.10,0.10,0.04,0.24,0.00,0.17,
12,12-134a,0.1,0.06,0.01,0.00,0.03,0.02,0.01,,13-84b,0.8,0.37,0.10,0.03,0.24,0.07,0.17,
13,12-135,0.1,0.07,0.02,0.01,0.04,0.00,0.03,,13-85,0.1,0.03,0.01,0.00,0.02,0.01,0.01,
14,12-141,0.5,0.45,0.16,0.12,0.17,0.01,0.17,,13-89c,0.1,0.03,0.01,0.00,0.02,0.00,0.02,A
15,12-143,0.7,0.45,0.08,0.05,0.32,0.18,0.14,,13-91,0.1,0.03,0.03,0.00,0.02,0.00,0.02,A
16,13-2,0.3,0.21,0.02,0.13,0.06,0.00,0.06,,13-92b,0.2,0.05,0.01,0.00,0.03,0.00,0.02,A
17,13-4,0.4,0.28,0.03,0.17,0.08,0.00,0.08,,14-3b,0.1,0.05,0.01,0.02,0.02,0.00,0.02,A
18,13-7,0.1,0.07,0.01,0.04,0.02,0.02,0.03,,14-4a,0.7,0.05,0.01,0.02,0.02,0.00,0.02,A
19,13-7,0.1,0.07,0.01,0.01,0.05,0.02,0.03,,14-5,0.1,0.05,0.01,0.02,0.02,0.00,0.02,A
20,13-9,0.6,0.54,0.12,0.13,0.29,0.00,0.29,,14-9,0.3,0.21,0.02,0.01,0.12,0.00,0.12,A
21,13-12,0.5,0.35,0.03,0.22,0.10,0.00,0.10,,14-14a,0.3,0.15,0.02,0.01,0.12,0.00,0.12,
22,13-13,0.4,0.28,0.03,0.17,0.08,0.00,0.08,,14-17a,0.7,0.35,0.06,0.02,0.28,0.00,0.28,B
23,13-15,0.8,0.35,0.03,0.35,0.10,0.00,0.10,,14-20,0.2,0.32,0.01,0.00,0.09,0.00,0.25,A
24,13-19a,0.5,0.04,0.01,0.02,0.01,0.00,0.01,,14-20,0.6,0.34,0.09,0.01,0.25,0.00,0.25,3933
25,13-20a,0.1,0.04,0.01,0.02,0.01,0.00,0.01,,15-2,0.3,0.17,0.04,0.02,0.22,0.19,0.03,3933
26,13-20b,0.1,0.04,0.01,0.02,0.01,0.00,0.01,,15-6,0.1,0.08,0.03,0.02,0.03,0.01,0.02,3933
27,13-21b,0.1,0.10,0.02,0.08,0.05,0.00,0.05,,15-7,0.7,0.07,0.10,0.04,0.26,0.23,0.04,A
28,13-21b,0.1,0.10,0.01,0.04,0.05,0.00,0.05,,15-8,0.1,0.07,0.03,0.02,0.02,0.01,0.02,B
29,13-22,0.1,0.10,0.01,10.96,0.05,0.11,0.05,,15-9,0.1,0.07,0.03,0.02,0.02,0.01,0.02,B
30,13-23c,15.0,13.50,2.17,10.45,0.88,0.11,0.77,A,15-12,0.5,0.38,0.24,0.12,0.59,0.51,0.08,
31,13-24b,0.1,0.04,0.01,0.02,0.01,0.00,0.01,A,15-13,1.5,1.09,0.39,0.33,0.13,0.15,0.23,A
32,13-27,0.2,0.09,0.02,0.04,0.03,0.02,0.00,,15-17,2.0,1.46,0.52,0.45,0.50,0.20,0.30,A
33,13-29.,0.1,0.09,0.01,0.04,0.05,0.00,0.05,,15-21,0.9,0.55,0.04,0.09,0.10,0.02,0.06,A
34,13-32b,1.0,0.45,0.12,0.08,0.24,0.10,0.14,,15-22,0.4,0.23,0.23,0.20,0.11,0.09,0.14,A
35,13-34a,0.1,0.08,0.03,0.01,0.04,0.01,0.03,KUUUUM,15-27a,0.1,0.07,0.03,0.04,0.02,0.01,0.03,B
36,13-37,0.1,0.05,0.01,0.01,0.02,0.01,0.02,KUUUUM,15-27b,0.2,0.15,0.05,0.04,0.02,0.01,0.02,B
37,13-43,0.1,0.03,0.01,0.00,0.02,0.01,0.01,KUUUUM,15-30,1.3,0.57,0.15,0.05,0.37,0.32,0.05,B
38,13-44,0.1,0.03,0.01,0.00,0.02,0.01,0.01,KUUUUM,15-31,0.1,0.07,0.03,0.07,0.02,0.41,0.02,B
39,13-47,1.0,0.03,0.08,0.65,0.22,0.00,0.22,,15-33a,1.0,0.50,0.19,0.11,0.20,0.51,0.47,B
40,13-49,0.2,0.08,0.01,0.04,0.02,0.01,0.01,,15-34,0.2,0.11,0.02,0.01,0.24,0.12,0.11,B
