,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Country,Energyl,Protein/g,Fat/g,CHO/g,Ca/mg,P/mg,Felmg,K/mg,Na/mg,Req,VitC/,Folatel
1,,kcal,,,,,,,,,Req,mg,mg
2,Argentina,,,,,,,,,,,,
3,PURE-USDA,48.5,2.3,2.4,4.5,6.8,34.1,0.28,146.7,149.6,20.4,6.9,5.7
4,Zimbabwe-USDA,46.8,2.95,1.6,5.1,5.9,29.4,0.49,142.1,150.8,18.9,5.4,2.05
5,ICC,0.99,0.98,0.96,0.99,0.99,0.99,0.93,0.99,1,0.99,0.98,0.78
6,Brazil,,,,,,,,,,,,
7,PURE-USDA,163.2,3.9,11.8,10.3,19.5,51.2,0.7,166.4,238.9,0.016,0.7,18.04
8,Zimbabwe-USDA,161.6,0.75,11.7,10.4,11.7,54.7,0.6,142.7,142.7,0.016,0.9,24.93
9,ICC,1,0.54,1,,0.93,0.99,0.99,0.99,0.93,,0.98,0.97
10,UAE,,,,,,,,,,,,
11,USDA,31.7,2.24,2.03,1.06,2.4,14.3,0.26,39.8,41.9,0.42,1.2,1.4
12,Zimbabwe-USDA,20.1,2.21,0.76,1.02,2.1,15.0,0.28,41.5,38.0,0.53,0.95,1.2
13,ICC,0.95,1,0.79,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.99
