,0,1,2,3,4,5,6,7,8,9,10
0,Foodgroup,,,,Domestic,,,,Foreign,,Total
1,Foodgroup,,"RDA""",NIFS2),MFDS3),NIH4),Other5),Japan},,USDA7,Total
2,1.CEREALS,,213,0,35,3,0,32,,13,296
3,2.POTATOES AND STARCHES,2.POTATOES AND STARCHES,57,0,2,0,0,6,,4,69
4,3.SUGARS AND SWEETENERS,3.SUGARS AND SWEETENERS,23,0,0,4,2,10,,11,50
5,4.PULSES,,50,0,7,0,0,5,,2,64
6,5.NUTS AND SEEDS,,55,0,5,3,1,11,,11,86
7,6.VEGETABLES,,559,0,10,8,1,29,,12,619
8,7.MUSHROOMS,,67,0,1,2,0,1,,0,71
9,8.FRUITS,,169,0,10,6,1,34,,23,243
10,9.MEATS,,163,6,26,5,0,16,,76,292
11,10.EGGS,,16,0,1,2,0,1,,2,22
12,11.FISHES,,18,503,48,14,1,68,,22,674
13,12.SEAWEEDS,,4,46,4,2,0,1,,0,57
14,13.MILKS AND MILK PRODUCTS,13.MILKS AND MILK PRODUCTS,32,0,0,0,0,10,,1,55
15,14.OILS AND FATS,,12,0,2,1,0,8,,11,34
16,15.TEAS,,37,0,7,4,0,4,,2,54
17,16.BEVERAGES,,17,0,0,0,0,0,,8,25
18,17.ALCOHOLS,,10,0,3,1,0,7,,4,25
19,18.SEASONINGS,,60,0,10,2,0,19,,13,104
20,19.PREPARED FOODS,19.PREPARED FOODS,25,0,85,0,3,6,,11,130
21,20.OTHERS,,22,0,1,1,0,2,,4,30
22,,Total,"1,609",555,257,58,9,270,,242,"3,000"
23,,,,,"2,488",,,,512,,
24,,Percentage (%),53.6,18.5,8.6,1.9,0.3,9.0,,8.1,100.0
25,,,,,82.9,,,,17.1,,
