,0,1,2,3,4,5
0,Survey,Institutions and/or,Level,Date,Primary objective,FCT/FCDB
1,,bodies involved,,,,
2,Nutrition and,Departamento de,Regional,1994,To assess the,USDA (1992)5 and
3,Health Survey,Salud Publica de la,(Valencian,,nutritional and health,other unspecified
4,of the,Universidad Miguel,Community),,status of the,databases
5,Valencian,Hernandez;Direccion,,,population over 14,
6,Community,General de Salud,,,years of age,
7,(1994),Publica.Consejeria,,,,
8,,de Sanidad y Consumo,,,,
9,,de la Generalitat,,,,
10,,Valenciana;Instituto,,,,
11,,Valenciano de,,,,
12,,Estudios en Salud,,,,
13,,Publica;Instituto,,,,
14,,Valenciano de,,,,
15,,Estadistica,,,,
16,Nutrition,Consejeria de,Regional,2009,To understand eating,Moreiras Varela
17,Survey of the,Sanidad;FEN,(Madrid),,habits and assess risk,et al.201045
18,Community of,,,,factors related to,
19,Madrid,,,,diet lifestyle that,
20,(ENUCAM),,,,may adversely affect,
21,,,,,health status,
22,Child Nutrition,Servicio de,Regional,2001-2002,To determine the,Moreiras Varela
23,Survey of the,Epidemiologia,(Madrid),,"eating habits,",et al.200151
24,Community of,Direccion General de,,,characteristics of the,
25,Madrid,Atencion Primaria,,,diet and nutritional,
26,,Consejeria de,,,status of the,
27,,Sanidad.Comunidad,,,pediatric population.,
28,,de Madrid,,,To identify potential,
29,,,,,nutritional risks and,
30,,,,,explore the,
31,,,,,relationship between,
32,,,,,diet and nutrition,
33,,,,,with other,
34,,,,,health-related,
35,,,,,characteristics and,
36,,,,,lifestyles,
37,Survey on,Instituto Universitario,Regional,2006-2007,To estimate the,Moreiras Varela
38,eating habits in,de Ciencias de la,(Galicia),,nutritional status of,et al. (2006)46
39,the Galician,Salud. Universidad de,,,the population over,
40,adult,A Coruna;FEN;,,,"17 years of age,",
41,population,Direccion General de,,,based on dietary,
42,,Salud Publica.,,,intake.,
43,,Conselleria de,,,,
44,,Sanidad. Xunta de,,,,
45,,Galicia,,,,
46,Nutrition,Direccion General de,Regional,2004-2005,To determine the,Farran et al.
47,Survey of the,Salud Publica.,(Basque,,nutritional health,(2003)23
48,Basque,Departamento de,Country),,status and its,EPIC-Spain FCDB:
49,Country.,Sanidad. Gobierno,,,determinants in the,Slimani et al.
50,Dietary habits,Vasco,,,population aged 4-18,(1991)52; Farran
51,and health,,,,years and identify the,(1996)53
52,status of the,,,,main nutritional risk,Other FCDBs
53,Basque,,,,groups,
54,population,,,,,
55,aged 4-18,,,,,
56,years,,,,,
