,0,1,2,3,4,5,6,7,8,9,10
0,,,,,,,Overall,,,,
1,,,,,,,,,,STFC2015/,
2,,,,,,,difference,% to,,,
3,,,STFC2010,STFC2010,STFC2015,STFC2015,,,,STFC2010,pa
4,,,,,,,vs.,STFC 2010,STFC 2010,,
5,,,,,,,,,,(%),
6,,,,,,,STFC2010,,,,
7,,unit,Mean,SD,Mean,SD,,,,,
8,Energy,kJ,7794,2377,7874,2405,80,,1.0,101.0,**
9,Energy,kcal,1863,568,1882,575,19,,1.0,101.0,**
10,Protein,g,68.5,23.5,70.0,24.1,1.5,,2.2,102.2,**
11,Fat,bo,56.3,24.3,57.6,24.9,1.3,,2.3,102.3,**
12,Saturated fatty acid,bo,15.39,7.67,16.97,8.46,1.58,10.3,10.3,110.3,**
13,Monounsaturated fatty acid,g,19.32,9.48,20.91,10.24,1.59,,8.2,108.2,**
14,n-6 fatty acid,,9.50,4.78,10.13,4.98,0.63,,6.6,106.6,**
15,n-3 fatty acid,bo,2.19,1.47,2.38,1.66,0.19,,8.7,108.7,**
16,Cholesterol,mg,312,186,314,187,2,,0.6,100.6,**
17,Carbohydrate,g,253.8,82.7,254.0,83.0,0.2,,0.1,100.1,NS
18,Total dietary fibre,g,14.3,6.6,14.2,6.5,-0.1,-0.7,-0.7,99.3,**
19,Water-soluble dietary fibre,,3.3,1.7,3.3,1.7,0,,0.0,100.0,**
20,Water-insoluble dietary fibre,g,10.4,4.9,10.4,4.8,0,,0.0,100.0,**
21,Vitamin A,ugREb,519,748,549,1079,30,,5.8,105.8,**
22,Vitamin D,ug,7.5,8.6,7.1,8.4,-0.4,5.3,5.3,94.7,**
23,Vitamin E,mg,6.4,3.2,6.5,3.3,0.1,,1.6,101.6,**
24,Vitamin K,g,227,175,230,177,3,,1.3,101.3,**
25,Vitamin B1,mg,0.85,0.39,0.93,0.45,0.08,,9.4,109.4,**
