,0,1,2,3,4,5,6,7,8
0,,,,Food list sources*,,,Food database sources,Food database sources,
1,,Total,,Individual,Market and,Food already,African food,Back-of-pack,Generated
2,,(n 148,Focus,dietary,shops,in myfood24,composi-tion,labels products,recipes
3,Food category,foods),groups,assessment,assessment,(n 82),tables(n 37),(BOP) (n 2),(n 27)
4,Fruits and vegetables,53,50,31,48,40,13,0,0
5,Meat and poultry,11,9,0,5,8,3,0,0
6,Dairy and eggs,7,7,2,6,7,0,0,0
7,Cereals and tubers,18,17,7,10,11,7,0,0
8,Drinks,6,6,3,6,4,0,2,0
9,Honey and other sugars,4,4,1,3,2,2,0,0
10,Fish,9,8,1,6,3,6,0,0
11,Oils and fats,3,3,2,3,3,0,0,0
12,Sauces and condiments,2,2,2,2,2,0,0,0
13,Alcohol,2,2,2,0,1,1,0,0
14,"Cakes, biscuits,",1,1,0,1,1,0,0,0
15,chocolates and other,,,,,,,,
16,snacks,,,,,,,,
17,Dishes with vegetables,15,15,10,0,0,0,0,15
18,and cereals or tubers,,,,,,,,
19,Dishes with fish and,1,1,0,0,0,0,0,1
20,vegetables,5,,,,,,,
21,Dishes cereal-based,5,5,1,5,0,5,0,0
22,Dishes vegetable-based,11,9,7,0,0,0,0,11
