,0,1,2,3
0,Ingredient,,Proportion,
1,Code,,,
2,809205,"*SOURMILK,FRESH,RAW *BOILED*",0.277,
3,829063,"*TOMATO,RIPE,FRESH,RAW*BOILED*",0.048,
4,829052,"*ONION,LARGE BULB,FRESH,RAW*BOILED*",0.014,
5,814027,"*FISH,NILE PERCH(TYPE3),SMOKED/DRIED,BOILED*BOILED*",0.011,
6,814006,"*FISH,TILAPIATYPE2),SMOKED/DRIED,RAW*BOILED*",0.007,
7,814046,"*FISH,LUNGFISH(TYPE 4),SMOKED/DRIED,RAW*BOILED*",0.003,
8,94000,"BEAN SAUCE (K2o/PINTO, DRIED),W/WO TOMATOES &/OR ONIONS",,Standard
9,806010,"* BEANS,PINTO(K20/NAMBALE),DRIED,BOILED *BOILED*",0.450,
10,806009,"*BEANS,PINTO(K20/NAMBALE),DRIED,RAW*BOILED*",0.100,
11,829063,"*TOMATO,RIPE,FRESH,RAW*BOILED*",0.091,
12,829052,"*ONION,LARGE BULB,FRESH,RAW*BOILED*",0.011,
13,94001,"BEAN SAUCE (K2o/PINTO,DRIED),W/WO TOMATOES &/OR ONIONS,",,Standard
14,,VEGETABLE OIL,,
15,806009,"* BEANS,PINTO(K20/NAMBALE),DRIED,RAW *BOILED*",0.289,
16,829063,"*TOMATO,RIPE,FRESH,RAW*BOILED*",0.066,
17,25011,"VEGETABLE OIL,SUNFLOWER SEED,RAW",0.025,
18,829051,"*ONION,SMALLBULB,FRESH,RAW*BOILED*",0.013,
19,725004,"*VEGETABLE OIL,MUKWANO,FORTIFIED,RAW*COOKED*",0.002,
20,725015,"*VEGETABLE OIL,SOYBEAN SEED,RAW *COOKED*",0.001,
21,94080,"BEAN SAUCE (CRANBERRY/KANYEBWA,FRESH),W/WO TOMATOES &/OR",,Standard
22,,ONIONS,,
23,806101,"*BEANS,CRANBERRY(KANYEBWA),FRESH,RAW*BOILED*",0.532,
24,829063,"*TOMATO,RIPE,FRESH,RAW*BOILED*",0.092,
25,829052,"*ONION,LARGE BULB,FRESH,RAW *BOILED*",0.022,
26,94081,"BEAN SAUCE (CRANBERRY/KANYEBWA,FRESH),W/WO TOMATOES &/OR",,Standard
27,,"ONIONS,VEGETABLE OIL",,
28,806101,"*BEANS,CRANBERRY(KANYEBWA),FRESH,RAW*BOILED*",0.517,
29,829063,"*TOMATO,RIPE,FRESH,RAW*BOILED*",0.089,
30,725004,"*VEGETABLEOIL,MUKWANO,FORTIFIED,RAW*COOKED*",0.028,
31,829052,"*ONION,LARGEBULB,FRESH,RAW*BOILED*",0.021,
32,94100,"BEAN SAUCE (GREEN GRAM/MUNG,DRIED)W/WO TOMATOES&/OR",,Standard
33,,ONIONS,,
34,806089,"*BEANS,MUNG,DRIED,RAW*BOILED*",0.290,
35,829063,"*TOMATO,RIPE,FRESH,RAW*BOILED*",0.040,
36,829051,"*ONION,SMALL BULB,FRESH,RAW*BOILED*",0.010,
37,94101,"BEAN SAUCE (GREEN GRAM/MUNG,DRIED) W/WO TOMATOES &/OR",,Standard Modified
38,,"ONIONS,VEGETABLE OIL",,
39,829063,"*TOMATO,RIPE,FRESH,RAW*BOILED*",0.150,
40,806089,"*BEANS,MUNG,DRIED,RAW*BOILED*",0.133,
