,0,1,2,3,4,5
0,Name of the FCDB,Last,No,No,No,Reference
1,Name of the FCDB,Update,FoodsT 1,Foods 2,Items 3,Reference
2,de la version original por i-Diet (Spain),2019,.726,711,90,[69]
3,Composition tables of foods and Greek dishes (Greece),2007,88,84,18,[71]
4,Bundeslebensmittelschliissel(BLS)(Germany),2014,936,715,146,[70]
5,Epidemiologici in Italia(Italy,2015,978,976,97,[72]
6,Dutch Food Composition Database (NEVO)(Netherlands),2019,2152,949,144,[27]
7,Kingdom),2019,2910,1208,280,[26]
8,(United States),2018,7083,609,69,[31]
9,2.0 (AnFooD2. 0),2017,2953,346,378,[30]
10,(BioFoodComp4.0),2017,7953,355,538,[14]
11,Phenol-Explorer 3.6 database on polyphenol content in food,2015,458,457,520,[73-75]
