,0,1,2,3,4
0,Year of edition,Authors,Title,Editorial,Reference
1,1993,"Mataix Verdu J,",Spanish food,Granada: Universidad de,Mataix-Verdu et al.
2,,"Manas Almendros M,",composition table,Granada,(1993)19
3,,"Llopis Gonzalez J,",,,
4,,Martinez de Victoria,,,
5,,E.,,,
6,1995,"Requejo A,Ortega",Spanish food,Madrid:Ministerio de,Requejo et al.
7,,"RM, Carvajales P,",composition tables,Sanidad y Consumo.,(199520
8,,et al.,,Secretaria General Tecnica,
9,,,,Centro de Publicaciones,
10,,,,The first food composition,
11,,,,table developed using the,
12,,,,direct method.,
13,1997,Martin Pena G,Food composition table,Madrid:Nutricia.,Martin Pena (1997)2
14,,,version 2.1),,
15,1998,Bello Gutierrez J,Composition tables for,Madrid: Diaz de Santos,Bello Gutierrez et al.
16,,Candela Delgado M,cooked dishes,,(1998)22
17,,Astiasaran Anchia I,,,
18,2003,"Farran A,Zamora R,",CESNID food composition,Barcelona:Edicions UB,Farran et al.(200323
19,,Cervera P.,tables,McGraw Hill Interamericana,
20,2004,"Ortega RM,",The composition of,Madrid:Ed.Complutense,Ortega et al. (2004)24
21,,"Lopez-Sabaler AM,",foods.Basic nutritional,,
22,,"Requejo AM, Andres",assessment tool,,
23,,P,,,
24,2010,Published by the,Spanish Food,Coordinated and funded by,Spanish Food
25,,BEDCA Network of,Composition Database,the Spanish Agency for Food,Composition Database
26,,the Spanish Ministry,(BEDCA) version 1.0.,Safety and Nutrition,(BEDCA)(2010
27,,of Science and,Available at:,(AECOSAN) of the Ministry,
28,,Innovation,http://www.bedca.net,"of Health,Social Services",
29,,,,and Equality,
