,0,1,2,3,4,5
0,Programa,Autor/compania,N. de alimentos,Origen de los datos,,N.de BDCA/TCA
1,nutricional,,,,,
2,"DIETOPRO.COM""",Garcia Alejo CG y,>800,BDCA/TCA europeas e,,No especificado
3,,Actualweb Soluciones,,internacionales,,
4,,Informaticas S.L.,,,,
5,EVALFINUT,Fundacion,>9.000,BDCA espanola:,2,
6,,Iberoamericana de,,BEDCA (2010)9,,
7,,Nutricion(FINUT),,BDCA americana:,,
8,,,,USDA (2014)32,,
9,SATN2014,SATN Nutricion,>1.800,TCA espanola:,,
10,,Respaldado por el,,Requejo y Ortega,>4,>4
11,,Colegio Oficial de,,(1999)33,,
12,,Farmaceuticos de,,BDCA americana:,,
13,,Madrid (COFM),,USDA (1998)34,,
14,,,,"Otros documentos,",,
15,,,,como Elmadfa,,
16,,,,199135 y Elmadfa,,
17,,,,(1997)36,,
18,DIETOWIN 8.0,Biologica Tecnologia,>1.000,BDCA americana:,1,
19,,Medica S.L.,,USDA (2014)32,,
