,0,1
0,Constituent group,Completeness of data
1,Proximates,Complete coverage
2,Amino acids,Extensive coverage
3,Biogenic amines,Some data
4,Special bioactive compounds,Some data
5,Fruit acids,Extensive coverage for the relevant food group
6,Carbohydrates,Extensive coverage for the relevant food group
7,Fatty acids,Extensive coverage for the relevant food group
8,Minerals and trace elements,Extensive coverage
9,Phospholipids,Some data
10,Purines,Extensive coverage for the relevant food group
11,Sterols,Extensive coverage for the relevant food group
12,Vitamins,Extensive coverage
