,0,1,2,3,4,5
0,Survey,Institutions and/or,Level,Date,Primary objective,FCT/FCDB
1,,bodies involved,,,,
2,National,Agencia Espanola de,National,2009 and 2012,To assess the,BEDCA(2010
3,Dietary Intake,Seguridad Alimentaria,,,nutritional status of,
4,"Survey (ENIDE,",y Nutricion (AESAN),,,the Spanish adult,
5,2013),,,,population,
6,Nutritional,Ministerio de,National,2007 and 2008,To assess the,Moreiras Varela
7,assessment of,"Agricultura,",,2000-2006,consumption of food,et al.(201045
8,the Spanish,Alimentacion y Medio,,,and beverages in the,Moreiras Varela
9,diet according,Ambiente (previously,,,Spanish adult,et al.(200646
10,to the Food,MARM and MAPA); FEN,,,populationboth in,
11,Intake Panel,,,,and outside the home,
12,National Food,"AECOSAN,within the",National,2012-2015,To accurately,Ortega et al.
13,Survey in,European framework,,,determine the type,(2010)47
14,Children and,and co-funded by,,,and amount of food,Ortega et al.
15,Adolescents,EFSA,,,consumed by children,(2013)48
16,(ENALIA),,,,and adolescents in,
17,,,,,order to assess,
18,,,,,nutrient intake and to,
19,,,,,investigate exposure,
20,,,,,to other potentially,
21,,,,,hazardous substances,
22,,,,,contained in food,
23,National Food,"AECOSAN,within the",National,2013-2015,Continuation of the,Ortega et al.
24,Survey in the,European framework,,,ENALIA survey,(2010)47
25,AdultElderly,and co-funded by,,,conducted in children,Ortega et al.
26,and Pregnant,EFSA,,,"and adolescents, and",(201348
27,Population,,,,includes the adult,
28,(ENALIA 2),,,,population,
29,Assessment of,Instituto de Nutricion,Regional,2000,To determine the,Mataix-Verdu
30,the Nutritional,y Tecnologia de,(Andalusia),,nutritional status of,et al. (1998)49
31,Status of the,Alimentos (INYTA),,,the healthy adult,
32,Autonomous,Departamento de,,,population,
33,Community of,Fisiologia.,,,,
34,Andalusia,Universidad Granada;,,,,
35,,Ministerio de Sanidad,,,,
36,,de Andalucia;Escuela,,,,
37,,Andaluza de Salud,,,,
38,,Publica,,,,
39,Catalan,Subdireccion General,Regional,ENCAT-92:,To assess dietary,ENCAT-02:Farran
40,Nutrition,de Promocion de la,(Catalonia),1992-1993,"habits,food",et al.(200323
41,Survey,"Salud, Direccion",,ENCAT-02:,"consumption, energy",
42,"(ENCAT-92,",General de Salud,,2002-2003,"and nutrients, and",
43,ENCAT-02),"Publica,",,,nutritional status,
44,,Departamento de,,,using biochemical and,
45,,"Sanidad, Generalitat",,,anthropometric,
46,,de Catalunya,,,parameters in the,
47,,,,,adult population,
