,0,1,2,3
0,Nutrient,Number,%of products with,% of products with
1,,of,specific nutrient,specific nutrient
2,,products,"datan=73,036","datan=57,006"
3,,with,food downloads,food downloads
4,,nutrient,after removing,after No Frills and
5,,data,non-foods),Loblaws duplicates
6,,,,removed)
7,Energy,"47,057",64.4%,58.9%
8,Total fat,"44,479",60.9%,54.4%
9,Saturated fat,"44,405",60.8%,54.2%
10,Protein,"46,200",63.3%,57.4%
11,Total,"46,436",63.6%,57.8%
12,Carbohydrates,,,
13,Total sugars,"50,154",68.7%,64.3%
14,Fiber,"27,239",37.3%,35.2%
15,Sodium,"46,154",63.2%,57.3%
16,Ingredients,"25,196",34.5%,44.2%
