,0,1,2,3,4,5
0,Programa,Autor/compania,N.de alimentos,Origen de los datos,,N.de BDCA/TCA
1,nutricional,,,,,
2,ALIMENTADOR.ES,Martinez Alvarez JR,575,BDCA/TCA europeas y,No especificado,No especificado
3,,"Villarino Marin A,",,americanas,,
4,,"Garcia Alcon R,",,Datos propios a partir,,
5,,Fernando Martin F,,del etiquetado de,,
6,,Fundacion,,alimentos y,,
7,,Alimentacion Saludable,,referencias,,
8,,Respaldado por la,,proporcionadas por,,
9,,Sociedad Espanola de,,fabricantes espanoles,,
10,,Dietetica y Ciencias de,,,,
11,,la Alimentacion,,,,
12,,(SEDCA)y la Fundacion,,,,
13,,Alimentacion Saludable,,,,
14,DIAL',Universidad,>800,BDCA/TCA europeas e,,
15,,Complutense de Madrid,,internacionales,>10,>10
16,,(UCM)y ALCE,,,,
17,,ingenieria,,,,
18,"EASYDIET""",Biocentury S.L.U.,>700,TCA espanola:Farran,1,
19,,Disenado por,,et al.(200323,,
20,,Biocentury y la,,,,
21,,Asociacion Espanola de,,,,
22,,Dietistas-,,,,
23,,Nutricionistas (AEDN),,,,
24,I-DIETo,Gestion de Salud y,700,TCA espanola:Martin,1,
25,,Nutricion S.L.,,Pena (199721,,
26,NUTRIBER,"Mataix Verdu J,Collado",1.100,TCA espanola:,1,
27,,"Torreblanca F,",,Mataix-Verdu et al.,,
28,,"Dominguez Azpiroz I,",,(2003)30,,
29,,et al.Fundacion,,,,
30,,Universitaria,,,,
31,,Iberoamericana,,,,
32,,(FUNIBER),,,,
33,NUTRISALUD-,"Martinez de Victoria E,",1.100,TCA espanola:,1,
34,ALIMENTACION Y,Manas Almendros M.,,Mataix-Verdu et al.,,
35,SALUD,Instituto de Nutricion y,,"199319,a",,
36,,Tecnologia de los,,,,
37,,Alimentos (INYTA) de la,,,,
38,,Universidad de,,,,
39,,Granada(UGr),,,,
40,"NUTRISOL""",Universidad de Malaga,>500,TCA espanola:,1,
41,,(UMA),,Moreiras Varela et al.,,
42,,,,(1996)31,,
43,VD-FEN,Fundacion Espanola de,>800,TCA espanola:,1,
44,,Nutricion (FEN).,,Moreiras Varela et al.,,
45,,Actualmente solo,,"(199218,b",,
46,,disponible para uso,,,,
47,,interno,,,,
48,PCN Pro v.1.0,"Cantos Lopez D,Farran",>700,TCA espanola: Farran,1,
49,,"A,Palma I.Universidad",,et al. (2003)23,,
50,,de Barcelona(UB),,,,
51,DIET CREATOR,Redes Liquidas S.L,50.000,TCA espanola:Farran,,
52,,Respaldado por la,,et al. (2003)23,>10,>10
53,,Sociedad Espanola de,,BDCA/TCA europeas y,,
54,,Dietetica y Ciencias de,,americanas,,
55,,la Alimentacion,,,,
56,,(SEDCA),,,,
