,0,1,2,3,4,5
0,Encuesta,Instituciones y/u organismos,Nivel,Fecha,Objetivo principal,TCA/BDCA
1,,involucrados,,,,
2,Encuesta sobre los habitos,Instituto Universitario de,Regional,2006-2007,Estimar el estado,Moreiras Varela et al.
3,alimentarios de la,Ciencias de la Salud.,(Galicia),,nutricional de la poblacion,(2006)46
4,poblacion adulta gallega,Universidad de A Coruna;,,,"mayor de 17 anos,a partir",
5,,FEN;Direccion General de,,,de la ingesta dietetica,
6,,Salud Publica.Conselleria,,,,
7,,de Sanidad.Xunta de Galicia,,,,
8,Encuesta de Nutricion del,Direccion General de Salud,Regional(Pais,2004-2005,Conocer el estado de salud,Farran et al.200323
9,Pais Vasco.Habitos,Publica.Departamento de,vasco),,nutricional y sus,EPIC-Espana BDCA:Slimani
10,alimentarios y estado de,Sanidad. Gobierno Vasco,,,determinantes en la,et al.199152;Farran
11,salud de la poblacion,,,,poblacion de 4 a 18 anos e,(199653
12,vasca de 4 a 18 anos,,,,identificar los principales,Otras BDCA
13,,,,,grupos de riesgo nutricional,
14,Estudio sobre consumo de,Direccion General de Salud,Regional(Pais,2000-2001,Obtener suficientes datos,Farran et al.(200323
15,alimentos del Pais Vasco,Publica.Departamento de,vasco),,experimentales para,Moreiras Varela et al.
16,,Sanidad.Gobierno Vasco.El,,,desarrollar y validar un,200151
17,,estudio forma parte del,,,programa nutricional y,EPIC-Espana BDCA:Slimani
18,,proyecto europeo,,,obtener informacion sobre,et al.199152;Farran
19,,"Montecarlo,financiado por",,,la ingesta de pesticidas en,199653;Gonzalez et al.
20,,elVPrograma Marco de,,,bebes de 8 a 12 meses.,(200154
21,,Investigacion y Desarrollo de,,,Evaluar la ingesta de,
22,,la Union Europea,,,nutrientes y pesticidas y el,
23,,,,,patron de consumo de,
24,,,,,alimentos en esta poblacion,
25,Modelo de consumo,Unidad de Nutricion,Regional(Pais,1988-1989,Evaluar el patron de,EINUT I:Moreiras Varela
26,alimentario en el Pais,Comunitaria.Ayuntamiento,vasco),1999-2000,consumo de alimentos en la,et al.(199218
27,Vasco (EINUT-I y EINUT II,de Bilbao.Programa de,,,poblacion adulta,Paul y Southgate (1991)55
28,,Nutricion.Gobierno Vasco,,,,Renaud y Attie (198656
29,,,,,,Fidanza (1984)57
30,Estudio de Nutricion de las,Gobierno de las Islas,Regional(Islas,1999-2000,Evaluar el estado nutricional,TCA espanolas y europeas
31,Islas Baleares(ENIB,Baleares,Baleares),,de la poblacion adulta sana,e informacion disponible
32,,,,,,de alimentos regionales
33,Encuesta de Nutricion de,Gobierno de las Islas,Regional(Islas,1997-1998,Evaluar los habitos,Mataix-Verdu et al.
34,Canarias (ENCA),Canarias,Canarias),,alimentarios y el estado,199849 e informacion
35,,,,,nutricional utilizando,disponible de alimentos
36,,,,,indicadores dieteticos,regionales
37,,,,,antropometricos y,
38,,,,,bioquimicos junto con,
39,,,,,factores determinantes del,
40,,,,,estilo de vida y la,
41,,,,,prevalencia de los,
42,,,,,principales factores de,
43,,,,,riesgo cardiovascular,
44,Estudio de alimentacion y,Junta de Castilla y Leon,Regional,2008,Identificar los habitos,Mataix-Verdu et al.
45,nutricion de la poblacion,,(Castilla y,,alimentarios y el estado,(200330
46,de Castilla y Leon,,Leon),,nutricional de la poblacion,Moreiras Varela et al.
47,,,,,adulta,(200558
