,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,Food group,,Food,ENERC!),ENERC!),WATER2},WATER2},PROCNP3),PROCNP3),FAT4),FAT4),ASH5,ASH5,CHOCDF6),CHOCDF6),SUGAR?,SUGAR?,FIBTG8),FIBTG8)
1,Food group,,items,n,%9,n,%,n,%,n,%,n,%,n,%,n,%,n,%
2,1.CEREALS,,296,296 100.0,296 100.0,296 100.0,296 100.0,296 100.0,296 100.0,296 100.0,296 100.0,296 100.0,296 100.0,296 100.0,296 100.0,159,53.7,184,62.2
3,2.POTATOESAND STARCHES,2.POTATOESAND STARCHES,69,69 100.0,69 100.0,69 100.0,69 100.0,69 100.0,69 100.0,69 100.0,69 100.0,69 100.0,69 100.0,69 100.0,69 100.0,47,68.1,50,72.5
4,3.SUGARS AND SWEETENERS,3.SUGARS AND SWEETENERS,50,50 100.0,50 100.0,50 100.0,50 100.0,50 100.0,50 100.0,50 100.0,50 100.0,50 100.0,50 100.0,50 100.0,50 100.0,33,66.0,34,68.0
5,4.PULSES,,64,64 100.0,64 100.0,64 100.0,64 100.0,64 100.0,64 100.0,64 100.0,64 100.0,64 100.0,64 100.0,64 100.0,64 100.0,37,57.8,40,62.5
6,5.NUTS AND SEEDS,5.NUTS AND SEEDS,86,86 100.0,86 100.0,86 100.0,86 100.0,86 100.0,86 100.0,86 100.0,86 100.0,86 100.0,86 100.0,86 100.0,86 100.0,39,45.3,53,61.6
7,6.VEGETABLES,6.VEGETABLES,619,619 100.0,619 100.0,619 100.0,619 100.0,619 100.0,619 100.0,619 100.0,619 100.0,619 100.0,619 100.0,619 100.0,619 100.0,341,55.1,376,60.7
8,7.MUSHROOMS,7.MUSHROOMS,71,71 100.0,71 100.0,71,100.0,71,100.0,71,100.0,71 100.0,71 100.0,71 100.0,71 100.0,29,40.8,32,45.1
9,8.FRUITS,,243,242,99.6,242,99.6,242,99.6,241,99.2,241,99.2,242,99.6,140,57.6,169,69.5
10,9.MEATS,,292,292100.0,292100.0,292 100.0,292 100.0,292 100.0,292 100.0,292 100.0,292 100.0,292 100.0,292 100.0,271,92.8,140,47.9,200,68.5
11,10.EGGS,,22,22 100.0,22 100.0,22 100.0,22 100.0,22 100.0,22 100.0,22 100.0,22 100.0,22 100.0,22 100.0,22 100.0,22 100.0,8,36.4,4,18.2
12,11.FISHES,,674,674 100.0,674 100.0,666,98.8,673,99.9,674 100.0,674 100.0,667,99.0,659,97.8,32,4.7,211,31.3
13,12.SEAWEEDS,,57,57 100.0,57 100.0,57 100.0,57 100.0,57 100.0,57 100.0,57 100.0,57 100.0,57 100.0,57 100.0,57 100.0,57 100.0,5,8.8,18,31.6
14,13.MILKS AND MILK PRODUCTS,13.MILKS AND MILK PRODUCTS,55,55 100.0,55 100.0,55 100.0,55 100.0,55 100.0,55 100.0,55 100.0,55 100.0,55 100.0,55 100.0,55 100.0,55 100.0,49,89.1,53,96.4
15,14.OILSAND FATS,14.OILSAND FATS,34,34 100.0,34 100.0,34 100.0,34 100.0,34 100.0,34 100.0,34 100.0,34 100.0,34 100.0,34 100.0,34 100.0,34 100.0,18,52.9,29,85.3
16,15.TEAS,,54,54 100.0,54 100.0,54 100.0,54 100.0,54 100.0,54 100.0,54 100.0,54 100.0,54 100.0,54 100.0,54 100.0,54 100.0,19,35.2,21,38.9
17,16.BEVERAGES,16.BEVERAGES,25,25 100.0,25 100.0,25 100.0,25 100.0,25 100.0,25 100.0,25 100.0,25 100.0,25 100.0,25 100.0,25 100.0,25 100.0,21,84.0,22,88.0
18,17.ALCOHOLS,17.ALCOHOLS,25,25 100.0,25 100.0,25 100.0,25 100.0,25 100.0,25 100.0,25 100.0,25 100.0,25100.0,25100.0,25 100.0,25 100.0,8,32.0,17,68.0
19,18.SEASONINGS,18.SEASONINGS,104,104 100.0,104 100.0,104 100.0,104 100.0,104 100.0,104 100.0,104 100.0,104 100.0,104 100.0,104 100.0,104 100.0,104 100.0,48,46.2,50,48.1
20,19. PREPARED FOODS,19. PREPARED FOODS,130,130 100.0,130 100.0,130 100.0,130 100.0,130 100.0,130 100.0,130 100.0,130 100.0,130 100.0,130 100.0,130 100.0,130 100.0,26,20.0,110,84.6
21,20.OTHERS,,30,30,100.0,30 100.0,30 100.0,30 100.0,30 100.0,30 100.0,30 100.0,30 100.0,30 100.0,30,100.0,11,36.7,12,40.0
22,,Total,"3,000 2,999","3,000 2,999","100.0 2,991","100.0 2,991","99.7 2,998","99.7 2,998","99.9 2,998","99.9 2,998","99.9 2,991","99.9 2,991","99.7 2,963","99.7 2,963","98.7 1,210","98.7 1,210","40.3 1,685","40.3 1,685",56.2
