,0,1,2,3,4,5,6,7,8
0,Food Total Total,Food Total Total,Food Total Total,SFA MUFA,SFA MUFA,,PUFA,,Method
1,code,fat,fatty,,,Total,n-3,n-6,of
2,,,acid,,,,,,substi-
3,,,,,,,,,tution
4,15-35a,3.2,1.73,0.26,0.13,1.34,0.99,0.35,A
5,15-35c,1.1,0.59,0.09,0.04,0.46,0.34,0.12,A
6,15-36b,0.1,0.05,0.01,0.00,0.04,0.03,0.01,A
7,15-37a,0.1,0.05,0.01,0.00,0.04,0.03,0.01,A
8,15-38,2.9,1.56,0.24,0.11,1.21,0.90,0.32,A
9,16-10,0.2,0.14,0.01,0.09,0.04,0.00,0.04,c
10,16-19a,4.1,2.45,0.53,0.26,1.66,1.03,0.63,A
11,16-22a,3.5,2.09,0.45,0.28,1.42,0.88,0.54,A
12,16-23a,4.4,2.63,0.62,0.28,1.78,1.11,0.67,A
13,16-24a,4.8,2.87,0.62,0.31,1.95,1.21,0.73,A
14,16-25a,3.4,2.03,0.44,0.22,1.38,0.86,0.52,B
15,16-26a,2.8,1.68,0.36,0.18,1.13,0.71,0.43,B
16,16-27a,2.5,1.50,0.32,0.16,1.01,0.63,0.38,B
17,16-29b,6.8,6.29,3.90,2.17,0.22,0.01,0.21,A
18,16-30a,16.0,11.19,5.00,1.10,5.10,0.15,4.95,A
19,16-31,0.3,0.27,0.18,0.12,0.91,0.00,0.01,D
20,16-34a,2.2,1.31,0.29,0.12,0.91,0.63,0.28,B
21,17-1,6.0,5.40,0.60,3.00,1.80,0.00,1.80,c
22,17-6b,0.2,0.12,0.04,0.02,0.06,0.01,0.05,A
23,17-6c,0.1,0.06,0.02,0.01,0.03,0.01,0.03,A
24,17-7,33.2,30.48,14.46,14.43,1.59,0.09,1.50,B
25,17-10c,61.7,58.17,5.99,26.91,25.28,5.64,19.64,A
26,17-12,5.6,3.56,1.61,0.43,1.52,0.05,1.48,c
27,17-13,1.1,0.83,0.20,0.17,0.46,0.02,0.44,C
28,17-14b,19.3,18.18,1.18,11.07,5.93,1.96,3.96,B
29,17-15a,0.8,0.32,0.09,0.02,0.21,0.02,0.19,A
30,17-16a,13.6,9.07,1.94,4.88,4.68,0.38,1.87,00
31,17-17,13.6,8.94,3.28,0.98,4.68,2.90,1.78,00
32,17-18a,6.0,5.74,1.80,1.86,2.08,0.29,1.79,c
33,17-18b,6.4,0.00,0.00,0.00,0.00,0.00,0.00,c
34,17-21,3.5,1.82,0.71,0.53,0.58,0.00,0.58,c
35,17-22a,5.3,3.73,1.67,0.89,1.17,0.26,0.91,
36,17-22b,1.8,1.27,0.57,0.30,0.40,0.09,0.31,c
37,17-23,11.5,9.49,6.22,1.69,1.59,1.11,0.48,c
38,17-24,7.6,4.50,2.80,0.48,1.22,0.71,0.51,c
39,17-25,14.6,11.94,2.54,2.32,7.08,0.56,6.52,c
40,17-26,38.5,30.72,27.18,3.17,0.37,0.00,0.37,c
41,17-28,11.6,10.38,1.83,1.10,7.45,0.81,6.64,c
42,17-30,99.8,93.52,14.14,36.88,42.50,0.56,41.94,A
43,17-31,13.0,10.67,2.12,2.77,5.78,0.57,5.22,C
44,17-32a,0.4,0.28,0.05,0.22,0.00,0.00,0.00,c
45,17-32b,1.6,1.10,0.21,0.89,0.52,0.00,0.00,C
46,17-33a,1.5,1.34,0.48,0.35,0.52,0.02,0.50,B
47,17-33b,1.2,1.07,0.38,0.28,0.41,0.01,0.40,B
